fund,signal_family,signal_name,signal_date,effective_trade_date,source_public_date,trade_after_public_flag,sector
NBIM,nbim_industry_concentration,top_sector_concentration,2020-02-25,2020-02-26,2020-02-25,1,Technology
NBIM,nbim_industry_concentration,top_sector_concentration,2020-02-25,2020-02-26,2020-02-25,1,Utilities
NBIM,nbim_industry_weight_change,sector_weight_change,2020-02-25,2020-02-26,2020-02-25,1,Communication Services
NBIM,nbim_industry_weight_change,sector_weight_change,2020-02-25,2020-02-26,2020-02-25,1,Consumer Discretionary
NBIM,nbim_industry_weight_change,sector_weight_change,2020-02-25,2020-02-26,2020-02-25,1,Consumer Staples
NBIM,nbim_industry_weight_change,sector_weight_change,2020-02-25,2020-02-26,2020-02-25,1,Energy
NBIM,nbim_industry_weight_change,sector_weight_change,2020-02-25,2020-02-26,2020-02-25,1,Financials
NBIM,nbim_industry_weight_change,sector_weight_change,2020-02-25,2020-02-26,2020-02-25,1,Health Care
NBIM,nbim_industry_weight_change,sector_weight_change,2020-02-25,2020-02-26,2020-02-25,1,Industrials
NBIM,nbim_industry_weight_change,sector_weight_change,2020-02-25,2020-02-26,2020-02-25,1,Materials
NBIM,nbim_industry_weight_change,sector_weight_change,2020-02-25,2020-02-26,2020-02-25,1,Real Estate
NBIM,nbim_industry_weight_change,sector_weight_change,2020-02-25,2020-02-26,2020-02-25,1,Technology
NBIM,nbim_industry_weight_change,sector_weight_change,2020-02-25,2020-02-26,2020-02-25,1,Utilities
CROSS_FUND,cross_fund_consensus,sector_confirmation,2020-05-18,2020-05-18,PIF:2020-05-15|NBIM:2020-02-25,1,Communication Services
CROSS_FUND,cross_fund_consensus,sector_confirmation,2020-05-18,2020-05-18,PIF:2020-05-15|NBIM:2020-02-25,1,Consumer Discretionary
CROSS_FUND,cross_fund_consensus,sector_confirmation,2020-05-18,2020-05-18,PIF:2020-05-15|NBIM:2020-02-25,1,Consumer Staples
CROSS_FUND,cross_fund_consensus,sector_confirmation,2020-05-18,2020-05-18,PIF:2020-05-15|NBIM:2020-02-25,1,Energy
CROSS_FUND,cross_fund_consensus,sector_confirmation,2020-05-18,2020-05-18,PIF:2020-05-15|NBIM:2020-02-25,1,Financials
CROSS_FUND,cross_fund_consensus,sector_confirmation,2020-05-18,2020-05-18,PIF:2020-05-15|NBIM:2020-02-25,1,Health Care
CROSS_FUND,cross_fund_consensus,sector_confirmation,2020-05-18,2020-05-18,PIF:2020-05-15|NBIM:2020-02-25,1,Industrials
CROSS_FUND,cross_fund_consensus,sector_confirmation,2020-05-18,2020-05-18,PIF:2020-05-15|NBIM:2020-02-25,1,Materials
CROSS_FUND,cross_fund_consensus,sector_confirmation,2020-05-18,2020-05-18,PIF:2020-05-15|NBIM:2020-02-25,1,Real Estate
CROSS_FUND,cross_fund_consensus,sector_confirmation,2020-05-18,2020-05-18,PIF:2020-05-15|NBIM:2020-02-25,1,Technology
CROSS_FUND,cross_fund_consensus,sector_confirmation,2020-05-18,2020-05-18,PIF:2020-05-15|NBIM:2020-02-25,1,Utilities
PIF,pif_exposure,visible_sleeve_regime,2020-05-15,2020-05-18,2020-05-15,1,
PIF,pif_sector_proxy,sector_rotation_proxy,2020-05-15,2020-05-18,2020-05-15,1,Communication Services
PIF,pif_sector_proxy,sector_rotation_proxy,2020-05-15,2020-05-18,2020-05-15,1,Consumer Discretionary
PIF,pif_sector_proxy,sector_rotation_proxy,2020-05-15,2020-05-18,2020-05-15,1,Consumer Staples
PIF,pif_sector_proxy,sector_rotation_proxy,2020-05-15,2020-05-18,2020-05-15,1,Energy
PIF,pif_sector_proxy,sector_rotation_proxy,2020-05-15,2020-05-18,2020-05-15,1,Financials
PIF,pif_sector_proxy,sector_rotation_proxy,2020-05-15,2020-05-18,2020-05-15,1,Health Care
PIF,pif_sector_proxy,sector_rotation_proxy,2020-05-15,2020-05-18,2020-05-15,1,Industrials
PIF,pif_sector_proxy,sector_rotation_proxy,2020-05-15,2020-05-18,2020-05-15,1,Materials
PIF,pif_sector_proxy,sector_rotation_proxy,2020-05-15,2020-05-18,2020-05-15,1,Real Estate
PIF,pif_sector_proxy,sector_rotation_proxy,2020-05-15,2020-05-18,2020-05-15,1,Technology
PIF,pif_sector_proxy,sector_rotation_proxy,2020-05-15,2020-05-18,2020-05-15,1,Utilities
CROSS_FUND,cross_fund_consensus,sector_confirmation,2020-08-17,2020-08-17,PIF:2020-08-14|NBIM:2020-02-25,1,Communication Services
CROSS_FUND,cross_fund_consensus,sector_confirmation,2020-08-17,2020-08-17,PIF:2020-08-14|NBIM:2020-02-25,1,Consumer Discretionary
CROSS_FUND,cross_fund_consensus,sector_confirmation,2020-08-17,2020-08-17,PIF:2020-08-14|NBIM:2020-02-25,1,Consumer Staples
