state_date,state_signature,pif_risk_state,nbim_sector_state,model_exposure_target,model_sector_tilt_primary,model_sector_tilt_primary_proxy,cross_fund_confirmation_count,window_months,window_label,spy_start_date,spy_end_date,spy_forward_return,spy_minus_unconditional_avg,vt_start_date,vt_end_date,vt_forward_return,sector_start_date,sector_end_date,primary_sector_forward_return,primary_sector_excess_vs_vt,primary_sector_excess_minus_unconditional_avg
2019-02-14,risk_on|top3_led|Financials|0|1.000000000000,risk_on,top3_led,1.000000000000,Financials,XLF,0,1,1m,2019-02-14,2019-03-14,0.024710211766,0.009893058948,2019-02-14,2019-03-14,0.023555777921,2019-02-14,2019-03-14,0.027047875440,0.003492097519,0.003927303422
2019-02-14,risk_on|top3_led|Financials|0|1.000000000000,risk_on,top3_led,1.000000000000,Financials,XLF,0,3,3m,2019-02-14,2019-05-14,0.037404059919,-0.003435952562,2019-02-14,2019-05-14,0.025540333796,2019-02-14,2019-05-14,0.044290087423,0.018749753627,0.019429418090
2019-02-14,risk_on|top3_led|Financials|0|1.000000000000,risk_on,top3_led,1.000000000000,Financials,XLF,0,6,6m,2019-02-14,2019-08-14,0.044263108528,-0.036515839184,2019-02-14,2019-08-14,0.012200081268,2019-02-14,2019-08-14,0.014081324400,0.001881243133,0.000472350643
2019-02-28,risk_on|overweight_led|Technology|0|1.000000000000,risk_on,overweight_led,1.000000000000,Technology,XLK,0,1,1m,2019-02-28,2019-03-28,0.011702094172,-0.003115058646,2019-02-28,2019-03-28,0.005245275649,2019-02-28,2019-03-28,0.040823466127,0.035578190478,0.025301666084
2019-02-28,risk_on|overweight_led|Technology|0|1.000000000000,risk_on,overweight_led,1.000000000000,Technology,XLK,0,3,3m,2019-02-28,2019-05-28,0.009683844268,-0.031156168213,2019-02-28,2019-05-28,-0.005666380952,2019-02-28,2019-05-28,0.038124882049,0.043791263001,0.015048539287
2019-02-28,risk_on|overweight_led|Technology|0|1.000000000000,risk_on,overweight_led,1.000000000000,Technology,XLK,0,6,6m,2019-02-28,2019-08-28,0.046221782069,-0.034557165642,2019-02-28,2019-08-28,0.010792658293,2019-02-28,2019-08-28,0.118390747785,0.107598089492,0.050882196742
2019-05-14,neutral|overweight_led|Technology|0|0.750000000000,neutral,overweight_led,0.750000000000,Technology,XLK,0,1,1m,2019-05-14,2019-06-14,0.020677558059,0.005860405241,2019-05-14,2019-06-14,0.013862264857,2019-05-14,2019-06-14,0.021613560531,0.007751295674,-0.002525228719
2019-05-14,neutral|overweight_led|Technology|0|0.750000000000,neutral,overweight_led,0.750000000000,Technology,XLK,0,3,3m,2019-05-14,2019-08-14,0.006611742592,-0.034228269889,2019-05-14,2019-08-14,-0.013008023272,2019-05-14,2019-08-14,0.040441699538,0.053449722810,0.024706999096
2019-05-14,neutral|overweight_led|Technology|0|0.750000000000,neutral,overweight_led,0.750000000000,Technology,XLK,0,6,6m,2019-05-14,2019-11-14,0.102601646689,0.021822698977,2019-05-14,2019-11-14,0.085970034065,2019-05-14,2019-11-14,0.177215239793,0.091245205728,0.034529312977
2019-08-07,risk_on|consensus_led|Technology|1|1.000000000000,risk_on,consensus_led,1.000000000000,Technology,XLK,1,1,1m,2019-08-07,2019-09-09,0.035524564518,0.020707411700,2019-08-07,2019-09-09,0.031584773539,2019-08-07,2019-09-09,0.043876714514,0.012291940975,0.002015416582
