date,instrument_key,issuer_name,symbol,sector,shares_end,close_price,market_value_end,weight_end,rebalance_id
2019-02-28,sector::XLY,Consumer Services,XLY,Consumer Services,0.003173332765,48.42446000,0.153666925552,0.153666925552,S4N4F-R002
2019-02-28,sector::XLV,Health Care,XLV,Health Care,0.004617158786,81.01512400,0.374059691557,0.374059691557,S4N4F-R002
2019-02-28,sector::XLE,Oil & Gas,XLE,Oil & Gas,0.003595324826,17.49131000,0.062886941085,0.062886941085,S4N4F-R002
2019-02-28,sector::XLK,Technology,XLK,Technology,0.010366116490,31.15708000,0.322977920781,0.322977920781,S4N4F-R002
2019-02-28,sector::XLC,Telecommunications,XLC,Telecommunications,0.000791443689,42.84143000,0.033906579385,0.033906579385,S4N4F-R002
2019-02-28,sector::XLU,Utilities,XLU,Utilities,0.002834908673,18.51980000,0.052501941640,0.052501941640,S4N4F-R002
2019-03-01,sector::XLY,Consumer Services,XLY,Consumer Services,0.003173332765,48.81551000,0.154907857330,0.153333523521,
2019-03-01,sector::XLV,Health Care,XLV,Health Care,0.004617158786,82.16427000,0.379365481107,0.375509976854,
2019-03-01,sector::XLE,Oil & Gas,XLE,Oil & Gas,0.003595324826,17.81299000,0.064043485175,0.063392609063,
2019-03-01,sector::XLK,Technology,XLK,Technology,0.010366116490,31.36813000,0.325165689666,0.321861019732,
2019-03-01,sector::XLC,Telecommunications,XLC,Telecommunications,0.000791443689,43.17729000,0.034172393662,0.033825098466,
2019-03-01,sector::XLU,Utilities,XLU,Utilities,0.002834908673,18.55879000,0.052612474729,0.052077772364,
2019-03-04,sector::XLY,Consumer Services,XLY,Consumer Services,0.003173332765,48.66173000,0.154419862217,0.153857022722,
2019-03-04,sector::XLV,Health Care,XLV,Health Care,0.004617158786,81.05048300,0.374222949675,0.372858957680,
2019-03-04,sector::XLE,Oil & Gas,XLE,Oil & Gas,0.003595324826,17.84515000,0.064159110821,0.063925259547,
2019-03-04,sector::XLK,Technology,XLK,Technology,0.010366116490,31.24941000,0.323935024317,0.322754325002,
2019-03-04,sector::XLC,Telecommunications,XLC,Telecommunications,0.000791443689,43.23327000,0.034216698680,0.034091983445,
2019-03-04,sector::XLU,Utilities,XLU,Utilities,0.002834908673,18.59127000,0.052704552563,0.052512451603,
2019-03-05,sector::XLY,Consumer Services,XLY,Consumer Services,0.003173332765,48.78476000,0.154810277347,0.154374157998,
2019-03-05,sector::XLV,Health Care,XLV,Health Care,0.004617158786,81.00628250,0.374018868948,0.372965212379,
2019-03-05,sector::XLE,Oil & Gas,XLE,Oil & Gas,0.003595324826,17.78618000,0.063947094516,0.063766947787,
2019-03-05,sector::XLK,Technology,XLK,Technology,0.010366116490,31.15708000,0.322977920781,0.322068052761,
2019-03-05,sector::XLC,Telecommunications,XLC,Telecommunications,0.000791443689,43.50383000,0.034430831684,0.034333835851,
2019-03-05,sector::XLU,Utilities,XLU,Utilities,0.002834908673,18.56853000,0.052640086740,0.052491793224,
2019-03-06,sector::XLY,Consumer Services,XLY,Consumer Services,0.003173332765,48.55628000,0.154085234277,0.154996587280,
2019-03-06,sector::XLV,Health Care,XLV,Health Care,0.004617158786,79.82178000,0.368549832823,0.370729658804,
2019-03-06,sector::XLE,Oil & Gas,XLE,Oil & Gas,0.003595324826,17.56100000,0.063137499272,0.063510932521,
2019-03-06,sector::XLK,Technology,XLK,Technology,0.010366116490,30.99439000,0.321291457289,0.323191768736,
2019-03-06,sector::XLC,Telecommunications,XLC,Telecommunications,0.000791443689,43.48517000,0.034416063345,0.034619620700,
2019-03-06,sector::XLU,Utilities,XLU,Utilities,0.002834908673,18.56853000,0.052640086740,0.052951431959,
2019-03-07,sector::XLY,Consumer Services,XLY,Consumer Services,0.003173332765,47.96750000,0.152216839412,0.154410005014,
2019-03-07,sector::XLV,Health Care,XLV,Health Care,0.004617158786,79.19416000,0.365652011626,0.370920386778,
2019-03-07,sector::XLE,Oil & Gas,XLE,Oil & Gas,0.003595324826,17.45646000,0.062761644015,0.063665924247,
2019-03-07,sector::XLK,Technology,XLK,Technology,0.010366116490,30.69979000,0.318237599371,0.322822819766,
2019-03-07,sector::XLC,Telecommunications,XLC,Telecommunications,0.000791443689,43.10266000,0.034113328220,0.034604838741,
2019-03-07,sector::XLU,Utilities,XLU,Utilities,0.002834908673,18.63025000,0.052815057303,0.053576025455,
2019-03-08,sector::XLY,Consumer Services,XLY,Consumer Services,0.003173332765,47.63357000,0.151157168401,0.153786614141,
2019-03-08,sector::XLV,Health Care,XLV,Health Care,0.004617158786,79.02620900,0.364876555191,0.371223744105,
2019-03-08,sector::XLE,Oil & Gas,XLE,Oil & Gas,0.003595324826,17.12942000,0.061585828984,0.062657141693,
2019-03-08,sector::XLK,Technology,XLK,Technology,0.010366116490,30.69539000,0.318191988459,0.323727078705,
2019-03-08,sector::XLC,Telecommunications,XLC,Telecommunications,0.000791443689,43.07466900,0.034091174919,0.034684205972,
2019-03-08,sector::XLU,Utilities,XLU,Utilities,0.002834908673,18.69523000,0.052999269668,0.053921215384,
2019-03-11,sector::XLY,Consumer Services,XLY,Consumer Services,0.003173332765,48.28825000,0.153234685896,0.153551974341,
2019-03-11,sector::XLV,Health Care,XLV,Health Care,0.004617158786,79.92785000,0.369039574855,0.369803709895,
2019-03-11,sector::XLE,Oil & Gas,XLE,Oil & Gas,0.003595324826,17.39748000,0.062549591757,0.062679107229,
2019-03-11,sector::XLK,Technology,XLK,Technology,0.010366116490,31.35494000,0.325028960590,0.325701967049,
2019-03-11,sector::XLC,Telecommunications,XLC,Telecommunications,0.000791443689,43.84903000,0.034704038046,0.034775896386,
2019-03-11,sector::XLU,Utilities,XLU,Utilities,0.002834908673,18.82841000,0.053376822806,0.053487345100,
2019-03-12,sector::XLY,Consumer Services,XLY,Consumer Services,0.003173332765,48.42446000,0.153666925552,0.153069598802,
2019-03-12,sector::XLV,Health Care,XLV,Health Care,0.004617158786,80.51127000,0.371733317634,0.370288333596,
2019-03-12,sector::XLE,Oil & Gas,XLE,Oil & Gas,0.003595324826,17.51007000,0.062954389379,0.062709676076,
2019-03-12,sector::XLK,Technology,XLK,Technology,0.010366116490,31.53962000,0.326943374983,0.325672496276,
2019-03-12,sector::XLC,Telecommunications,XLC,Telecommunications,0.000791443689,44.04494600,0.034859094527,0.034723591916,
