rebalance_id,trade_date,next_rebalance_trade_date,signal_dates,report_periods,included_signal_ids,raw_holding_signal_count,eligible_holding_signal_count,excluded_holding_signal_count,positions_sold_count,positions_bought_count,pre_trade_nav,post_trade_nav,target_weight_per_name,same_day_bundle_flag
P2EW-R001,2019-02-14,2019-05-14,2019-02-13,2018-12-31,holding:000156761919003482:1,1,1,0,0,1,1.000000000000,1.000000000000,1.000000000000,0
P2EW-R002,2019-05-14,2019-08-07,2019-05-13,2019-03-31,holding:000156761919010477:1,1,1,0,1,1,0.764756191322,0.764756191322,1.000000000000,0
P2EW-R003,2019-08-07,2019-10-22,2019-08-06,2019-06-30,holding:000156761919015831:1|holding:000156761919015831:2,2,2,0,1,2,0.768410272313,0.768410272313,0.500000000000,0
P2EW-R004,2019-10-22,2020-02-05,2019-10-21,2019-09-30,holding:000156761919019798:1|holding:000156761919019798:2,2,2,0,2,2,0.735496168569,0.735496168569,0.500000000000,0
P2EW-R005,2020-02-05,2020-05-18,2020-02-04,2019-12-31,holding:000156761920002012:1|holding:000156761920002012:2,2,2,0,2,2,1.473275578647,1.473275578647,0.500000000000,0
P2EW-R006,2020-05-18,2020-08-17,2020-05-15,2020-03-31,holding:000156761920010560:1|holding:000156761920010560:3|holding:000156761920010560:2|holding:000156761920010560:4|holding:000156761920010560:5|holding:000156761920010560:6|holding:000156761920010560:7|holding:000156761920010560:8|holding:000156761920010560:9|holding:000156761920010560:10|holding:000156761920010560:11|holding:000156761920010560:12|holding:000156761920010560:13|holding:000156761920010560:14|holding:000156761920010560:15|holding:000156761920010560:16|holding:000156761920010560:17|holding:000156761920010560:18|holding:000156761920010560:19|holding:000156761920010560:20|holding:000156761920010560:21|holding:000156761920010560:22|holding:000156761920010560:23|holding:000156761920010560:24,24,24,0,2,24,1.488575819101,1.488575819101,0.041666666667,0
P2EW-R007,2020-08-17,2020-11-17,2020-08-14,2020-06-30,holding:000156761920015371:1|holding:000156761920015371:2|holding:000156761920015371:3|holding:000156761920015371:4|holding:000156761920015371:5|holding:000156761920015371:6|holding:000156761920015371:7|holding:000156761920015371:10|holding:000156761920015371:8|holding:000156761920015371:9|holding:000156761920015371:11|holding:000156761920015371:12|holding:000156761920015371:13,13,13,0,24,13,1.630208727344,1.630208727344,0.076923076923,0
P2EW-R008,2020-11-17,2021-05-18,2020-11-16,2020-09-30,holding:000156761920019808:1|holding:000156761920019808:2|holding:000156761920019808:3|holding:000156761920019808:4|holding:000156761920019808:5|holding:000156761920019808:6|holding:000156761920019808:7,7,7,0,13,7,1.893781018579,1.893781018579,0.142857142857,0
P2EW-R009,2021-05-18,2021-08-17,2021-05-17,2021-03-31,holding:000156761921010356:2|holding:000156761921010356:3|holding:000156761921010356:4|holding:000156761921010356:5|holding:000156761921010356:6|holding:000156761921010356:7|holding:000156761921010356:8|holding:000156761921010356:10|holding:000156761921010356:11|holding:000156761921010356:12|holding:000156761921010356:13,14,11,3,7,11,2.293346416408,2.293346416408,0.090909090909,0
P2EW-R010,2021-08-17,2022-10-12,2021-08-16,2021-06-30,holding:000156761921015669:2|holding:000156761921015669:3|holding:000156761921015669:4|holding:000156761921015669:5|holding:000156761921015669:6|holding:000156761921015669:7|holding:000156761921015669:8|holding:000156761921015669:10|holding:000156761921015669:11|holding:000156761921015669:12|holding:000156761921015669:13,13,11,2,11,11,2.102425078726,2.102425078726,0.090909090909,0
P2EW-R011,2022-10-12,2022-11-15,2022-10-11,2021-09-30|2021-12-31,holding:000156761922018388:1|holding:000156761922018390:1,2,2,0,11,2,1.421809228813,1.421809228813,0.500000000000,1
P2EW-R012,2022-11-15,2022-12-23,2022-11-14,2022-09-30,holding:000156761922019765:2|holding:000156761922019765:3|holding:000156761922019765:4|holding:000156761922019765:5|holding:000156761922019765:6|holding:000156761922019765:7|holding:000156761922019765:8|holding:000156761922019765:9|holding:000156761922019765:10|holding:000156761922019765:11|holding:000156761922019765:12|holding:000156761922019765:14|holding:000156761922019765:15|holding:000156761922019765:16|holding:000156761922019765:18|holding:000156761922019765:19|holding:000156761922019765:20|holding:000156761922019765:21|holding:000156761922019765:22|holding:000156761922019765:23|holding:000156761922019765:24|holding:000156761922019765:25|holding:000156761922019765:26|holding:000156761922019765:27|holding:000156761922019765:28|holding:000156761922019765:29|holding:000156761922019765:30|holding:000156761922019765:31|holding:000156761922019765:32|holding:000156761922019765:33|holding:000156761922019765:34|holding:000156761922019765:36|holding:000156761922019765:37|holding:000156761922019765:38|holding:000156761922019765:39|holding:000156761922019765:40|holding:000156761922019765:41|holding:000156761922019765:42|holding:000156761922019765:43|holding:000156761922019765:44|holding:000156761922019765:45|holding:000156761922019765:46|holding:000156761922019765:47|holding:000156761922019765:48|holding:000156761922019765:49|holding:000156761922019765:50|holding:000156761922019765:51|holding:000156761922019765:52|holding:000156761922019765:53,52,49,3,1,49,0.870497593715,0.870497593715,0.020408163265,0
P2EW-R013,2022-12-23,2023-02-15,2022-12-22,2022-03-31|2022-06-30,holding:000156761922021940:2|holding:000156761922021940:3|holding:000156761922021939:2|holding:000156761922021940:4|holding:000156761922021939:3|holding:000156761922021940:5|holding:000156761922021940:6|holding:000156761922021940:7|holding:000156761922021940:8|holding:000156761922021939:4|holding:000156761922021940:9|holding:000156761922021939:5|holding:000156761922021940:10|holding:000156761922021939:6|holding:000156761922021940:11|holding:000156761922021939:7|holding:000156761922021940:12|holding:000156761922021940:14|holding:000156761922021940:15|holding:000156761922021939:9|holding:000156761922021940:16|holding:000156761922021939:11|holding:000156761922021940:18|holding:000156761922021940:19|holding:000156761922021939:12|holding:000156761922021940:20|holding:000156761922021939:13|holding:000156761922021940:21|holding:000156761922021940:22|holding:000156761922021939:14|holding:000156761922021940:23|holding:000156761922021939:15|holding:000156761922021940:24|holding:000156761922021939:16|holding:000156761922021940:25|holding:000156761922021940:26|holding:000156761922021940:27|holding:000156761922021940:29|holding:000156761922021939:18|holding:000156761922021939:19|holding:000156761922021940:30|holding:000156761922021939:20|holding:000156761922021940:31|holding:000156761922021939:21|holding:000156761922021940:32|holding:000156761922021939:22|holding:000156761922021940:33|holding:000156761922021940:34|holding:000156761922021939:23|holding:000156761922021940:35|holding:000156761922021940:37|holding:000156761922021939:25|holding:000156761922021940:38|holding:000156761922021939:26|holding:000156761922021940:39|holding:000156761922021939:27|holding:000156761922021940:40|holding:000156761922021939:28|holding:000156761922021940:41|holding:000156761922021939:29|holding:000156761922021940:42|holding:000156761922021939:30|holding:000156761922021940:43|holding:000156761922021940:44|holding:000156761922021939:31|holding:000156761922021940:45|holding:000156761922021939:32|holding:000156761922021940:46|holding:000156761922021939:33|holding:000156761922021940:47|holding:000156761922021939:34|holding:000156761922021940:48|holding:000156761922021940:49|holding:000156761922021939:35|holding:000156761922021940:50|holding:000156761922021939:36|holding:000156761922021940:51|holding:000156761922021939:37|holding:000156761922021940:52|holding:000156761922021939:38|holding:000156761922021940:53|holding:000156761922021940:54,90,82,8,49,82,0.785042333410,0.785042333410,0.012195121951,1
P2EW-R014,2023-02-15,2023-05-16,2023-02-14,2022-12-31,holding:000131586323000305:2|holding:000131586323000305:3|holding:000131586323000305:4|holding:000131586323000305:5|holding:000131586323000305:6|holding:000131586323000305:7|holding:000131586323000305:8|holding:000131586323000305:9|holding:000131586323000305:10|holding:000131586323000305:11|holding:000131586323000305:12|holding:000131586323000305:14|holding:000131586323000305:15|holding:000131586323000305:16|holding:000131586323000305:19|holding:000131586323000305:20|holding:000131586323000305:21|holding:000131586323000305:22|holding:000131586323000305:23|holding:000131586323000305:24|holding:000131586323000305:25|holding:000131586323000305:26|holding:000131586323000305:27|holding:000131586323000305:28|holding:000131586323000305:29|holding:000131586323000305:30|holding:000131586323000305:31|holding:000131586323000305:32|holding:000131586323000305:33|holding:000131586323000305:35|holding:000131586323000305:36|holding:000131586323000305:37|holding:000131586323000305:38|holding:000131586323000305:39|holding:000131586323000305:40|holding:000131586323000305:41|holding:000131586323000305:42|holding:000131586323000305:43|holding:000131586323000305:44|holding:000131586323000305:45|holding:000131586323000305:46|holding:000131586323000305:47|holding:000131586323000305:48|holding:000131586323000305:49|holding:000131586323000305:50|holding:000131586323000305:51|holding:000131586323000305:52|holding:000131586323000305:53,52,48,4,50,48,0.563364131951,0.563364131951,0.020833333333,0
P2EW-R015,2023-05-16,2023-08-15,2023-05-15,2023-03-31,holding:000108514623002379:2|holding:000108514623002379:3|holding:000108514623002379:4|holding:000108514623002379:5|holding:000108514623002379:6|holding:000108514623002379:7|holding:000108514623002379:8|holding:000108514623002379:9|holding:000108514623002379:10|holding:000108514623002379:11|holding:000108514623002379:12|holding:000108514623002379:14|holding:000108514623002379:15|holding:000108514623002379:16|holding:000108514623002379:17|holding:000108514623002379:19|holding:000108514623002379:20|holding:000108514623002379:21|holding:000108514623002379:22|holding:000108514623002379:23|holding:000108514623002379:24|holding:000108514623002379:25|holding:000108514623002379:26|holding:000108514623002379:27|holding:000108514623002379:28|holding:000108514623002379:29|holding:000108514623002379:30|holding:000108514623002379:31|holding:000108514623002379:32|holding:000108514623002379:34|holding:000108514623002379:35|holding:000108514623002379:36|holding:000108514623002379:37|holding:000108514623002379:38|holding:000108514623002379:39|holding:000108514623002379:40|holding:000108514623002379:41|holding:000108514623002379:42|holding:000108514623002379:43|holding:000108514623002379:44|holding:000108514623002379:45|holding:000108514623002379:46|holding:000108514623002379:47|holding:000108514623002379:48|holding:000108514623002379:49|holding:000108514623002379:50|holding:000108514623002379:51|holding:000108514623002379:52,52,48,4,48,48,0.524856481721,0.524856481721,0.020833333333,0
P2EW-R016,2023-08-15,2023-11-15,2023-08-14,2023-06-30,holding:000101143823000529:2|holding:000101143823000529:3|holding:000101143823000529:4|holding:000101143823000529:5|holding:000101143823000529:6|holding:000101143823000529:7|holding:000101143823000529:8|holding:000101143823000529:9|holding:000101143823000529:10|holding:000101143823000529:11|holding:000101143823000529:13|holding:000101143823000529:14|holding:000101143823000529:15|holding:000101143823000529:16|holding:000101143823000529:18|holding:000101143823000529:19|holding:000101143823000529:20|holding:000101143823000529:21|holding:000101143823000529:22|holding:000101143823000529:23|holding:000101143823000529:24|holding:000101143823000529:25|holding:000101143823000529:26|holding:000101143823000529:27|holding:000101143823000529:28|holding:000101143823000529:29|holding:000101143823000529:30|holding:000101143823000529:31|holding:000101143823000529:32|holding:000101143823000529:34|holding:000101143823000529:35|holding:000101143823000529:36|holding:000101143823000529:37|holding:000101143823000529:38|holding:000101143823000529:39|holding:000101143823000529:40|holding:000101143823000529:41|holding:000101143823000529:42|holding:000101143823000529:43|holding:000101143823000529:44|holding:000101143823000529:45|holding:000101143823000529:46|holding:000101143823000529:47|holding:000101143823000529:48|holding:000101143823000529:49|holding:000101143823000529:50|holding:000101143823000529:51,51,47,4,48,47,0.558702672499,0.558702672499,0.021276595745,0
P2EW-R017,2023-11-15,2024-02-15,2023-11-14,2023-09-30,holding:000101143823000626:2|holding:000101143823000626:3|holding:000101143823000626:4|holding:000101143823000626:5|holding:000101143823000626:7|holding:000101143823000626:8|holding:000101143823000626:9|holding:000101143823000626:10|holding:000101143823000626:11|holding:000101143823000626:12|holding:000101143823000626:13|holding:000101143823000626:14|holding:000101143823000626:15|holding:000101143823000626:16|holding:000101143823000626:17|holding:000101143823000626:18|holding:000101143823000626:19|holding:000101143823000626:20|holding:000101143823000626:21|holding:000101143823000626:22|holding:000101143823000626:23|holding:000101143823000626:24|holding:000101143823000626:25|holding:000101143823000626:26|holding:000101143823000626:27|holding:000101143823000626:28|holding:000101143823000626:29|holding:000101143823000626:30|holding:000101143823000626:31|holding:000101143823000626:32|holding:000101143823000626:33|holding:000101143823000626:35|holding:000101143823000626:36|holding:000101143823000626:37|holding:000101143823000626:38|holding:000101143823000626:39|holding:000101143823000626:40|holding:000101143823000626:41|holding:000101143823000626:42|holding:000101143823000626:43|holding:000101143823000626:44|holding:000101143823000626:45|holding:000101143823000626:46|holding:000101143823000626:47|holding:000101143823000626:48|holding:000101143823000626:49|holding:000101143823000626:50|holding:000101143823000626:51|holding:000101143823000626:52,52,49,3,47,49,0.548994909354,0.548994909354,0.020408163265,0
P2EW-R018,2024-02-15,2024-05-16,2024-02-14,2023-12-31,holding:000101143824000215:1|holding:000101143824000215:2|holding:000101143824000215:3|holding:000101143824000215:4|holding:000101143824000215:6|holding:000101143824000215:7|holding:000101143824000215:8|holding:000101143824000215:9|holding:000101143824000215:10|holding:000101143824000215:11|holding:000101143824000215:12|holding:000101143824000215:13|holding:000101143824000215:14|holding:000101143824000215:15|holding:000101143824000215:16|holding:000101143824000215:17|holding:000101143824000215:18|holding:000101143824000215:19|holding:000101143824000215:20|holding:000101143824000215:21|holding:000101143824000215:22|holding:000101143824000215:23|holding:000101143824000215:24|holding:000101143824000215:25|holding:000101143824000215:26|holding:000101143824000215:27|holding:000101143824000215:28|holding:000101143824000215:29|holding:000101143824000215:30|holding:000101143824000215:31|holding:000101143824000215:32|holding:000101143824000215:34|holding:000101143824000215:35|holding:000101143824000215:36|holding:000101143824000215:37|holding:000101143824000215:38|holding:000101143824000215:39|holding:000101143824000215:40|holding:000101143824000215:41|holding:000101143824000215:42|holding:000101143824000215:43|holding:000101143824000215:44|holding:000101143824000215:45|holding:000101143824000215:46|holding:000101143824000215:47|holding:000101143824000215:48|holding:000101143824000215:49|holding:000101143824000215:50,50,48,2,49,48,0.585153853005,0.585153853005,0.020833333333,0
P2EW-R019,2024-05-16,2024-10-01,2024-05-15,2024-03-31,holding:000101143824000359:3|holding:000101143824000359:4|holding:000101143824000359:9|holding:000101143824000359:10|holding:000101143824000359:11|holding:000101143824000359:12|holding:000101143824000359:14|holding:000101143824000359:15|holding:000101143824000359:16|holding:000101143824000359:17|holding:000101143824000359:18|holding:000101143824000359:19|holding:000101143824000359:20|holding:000101143824000359:23|holding:000101143824000359:24|holding:000101143824000359:26|holding:000101143824000359:28|holding:000101143824000359:29|holding:000101143824000359:30|holding:000101143824000359:32|holding:000101143824000359:33|holding:000101143824000359:35|holding:000101143824000359:36|holding:000101143824000359:37|holding:000101143824000359:38,26,25,1,48,25,0.593627296237,0.593627296237,0.040000000000,0
P2EW-R020,2024-10-01,2024-11-15,2024-09-30,2024-06-30,holding:000108514624004609:1,1,1,0,25,1,0.625536028767,0.625536028767,1.000000000000,0
