date,strategy_key,strategy_name,top_position_weight,top_5_weight,hhi
2022-11-30,n1,N1 Core US Mirror Equal Weight,0.172662437709,0.624670566998,0.109849286759
2022-12-30,n1,N1 Core US Mirror Equal Weight,0.186571976892,0.650736380805,0.114652289629
2023-01-31,n1,N1 Core US Mirror Equal Weight,0.175239915510,0.610144651531,0.109508570154
2023-02-28,n1,N1 Core US Mirror Equal Weight,0.163471408608,0.596552934857,0.107480050113
2023-03-31,n1,N1 Core US Mirror Equal Weight,0.100000000000,0.500000000000,0.100000000000
2023-04-28,n1,N1 Core US Mirror Equal Weight,0.110218937726,0.526067341564,0.100707486942
2023-05-31,n1,N1 Core US Mirror Equal Weight,0.121686447434,0.545376946563,0.101170219575
2023-06-30,n1,N1 Core US Mirror Equal Weight,0.125538544029,0.542743216085,0.101340273947
2023-07-31,n1,N1 Core US Mirror Equal Weight,0.131797468195,0.552147826226,0.102089448171
2023-08-31,n1,N1 Core US Mirror Equal Weight,0.140059331967,0.556920066291,0.102467639920
2023-09-29,n1,N1 Core US Mirror Equal Weight,0.128632113224,0.548685844711,0.101613290458
2023-10-31,n1,N1 Core US Mirror Equal Weight,0.125108200166,0.558263996433,0.101966183861
2023-11-30,n1,N1 Core US Mirror Equal Weight,0.130468111271,0.561067932866,0.102396177130
2023-12-29,n1,N1 Core US Mirror Equal Weight,0.133293808971,0.568466322878,0.103181004232
2024-01-31,n1,N1 Core US Mirror Equal Weight,0.159350557005,0.598593639538,0.107307455745
2024-02-29,n1,N1 Core US Mirror Equal Weight,0.100000000000,0.500000000000,0.100000000000
2024-03-28,n1,N1 Core US Mirror Equal Weight,0.110935887070,0.529151470108,0.100555375080
2024-04-30,n1,N1 Core US Mirror Equal Weight,0.116814789937,0.539141884093,0.100877436960
2024-05-31,n1,N1 Core US Mirror Equal Weight,0.128635444233,0.549790272578,0.101691454251
2024-06-28,n1,N1 Core US Mirror Equal Weight,0.136653733222,0.546816306221,0.102124826522
2024-07-31,n1,N1 Core US Mirror Equal Weight,0.128505090561,0.543470548562,0.101426875643
2024-08-30,n1,N1 Core US Mirror Equal Weight,0.100000000000,0.500000000000,0.100000000000
2024-09-30,n1,N1 Core US Mirror Equal Weight,0.118098292571,0.523245889550,0.100521384071
2024-10-31,n1,N1 Core US Mirror Equal Weight,0.112710821165,0.527558556889,0.100411763367
2024-11-29,n1,N1 Core US Mirror Equal Weight,0.143058212497,0.546218346840,0.102310883195
2024-12-31,n1,N1 Core US Mirror Equal Weight,0.162894573030,0.563700239737,0.104989765742
2025-01-31,n1,N1 Core US Mirror Equal Weight,0.158365306303,0.586610682736,0.105242000624
2025-02-28,n1,N1 Core US Mirror Equal Weight,0.100000000000,0.500000000000,0.100000000000
2025-03-31,n1,N1 Core US Mirror Equal Weight,0.114660328903,0.525474361871,0.100492853866
2025-04-30,n1,N1 Core US Mirror Equal Weight,0.112179043187,0.527390525838,0.100449793904
2025-05-30,n1,N1 Core US Mirror Equal Weight,0.116906128446,0.537809241177,0.100987947793
2025-06-30,n1,N1 Core US Mirror Equal Weight,0.118701435368,0.545544607174,0.101320253002
2025-07-31,n1,N1 Core US Mirror Equal Weight,0.127878947110,0.555985495343,0.102179137705
2025-08-29,n1,N1 Core US Mirror Equal Weight,0.100000000000,0.500000000000,0.100000000000
2025-09-30,n1,N1 Core US Mirror Equal Weight,0.125055712664,0.534151599019,0.100945109028
2025-10-31,n1,N1 Core US Mirror Equal Weight,0.124649699308,0.554493382413,0.101841754859
2025-11-28,n1,N1 Core US Mirror Equal Weight,0.137213980548,0.552686551455,0.102530836377
2025-12-31,n1,N1 Core US Mirror Equal Weight,0.133162887694,0.554993676129,0.102362618918
2026-01-30,n1,N1 Core US Mirror Equal Weight,0.142089287619,0.566863636587,0.103216711097
2026-02-27,n1,N1 Core US Mirror Equal Weight,0.136190852476,0.574344566469,0.103602027656
2026-03-31,n1,N1 Core US Mirror Equal Weight,0.100000000000,0.500000000000,0.100000000000
2026-04-30,n1,N1 Core US Mirror Equal Weight,0.121758483467,0.539295595409,0.101203427491
2026-05-28,n1,N1 Core US Mirror Equal Weight,0.118272091865,0.551179139320,0.101563300668
