strategy_key,strategy_name,start_date,end_date,final_nav,total_return,annualized_return,annualized_volatility,max_drawdown,average_cash_weight,average_holding_count,average_rebalance_turnover,rebalance_count
n1,N1 Core US Mirror Equal Weight,2018-02-28,2026-05-28,8.170426070352,7.170426070352,0.336364515022,0.235080149462,-0.286197261651,0.000000000000,10.000000000000,0.698870106462,11
n2,N2 Core US Mirror NBIM Weight,2018-02-28,2026-05-28,5.667567065696,4.667567065696,0.270567618216,0.218671137779,-0.347470639597,0.000000000000,10.000000000000,0.380718972179,11
n3,N3 Industry Weight Mirror,2018-02-28,2026-05-28,2.610811771519,1.610811771519,0.141645038932,0.161100284042,-0.221567296382,0.052952622694,8.579545454545,0.219770959762,11
n4,N4 Industry Weight-Change Tilt,2018-02-28,2026-05-28,2.990482335158,1.990482335158,0.163243489526,0.182386923702,-0.243038233219,0.033187955444,3.715909090909,1.992848301336,11
n5,N5 Industry Accumulation Tilt,2019-02-28,2026-05-28,1.692165796340,0.692165796340,0.075310602901,0.122630476438,-0.242981249142,0.587051992615,3.306818181818,0.675696084950,10
n6,N6 Top-3 Industry Leaders,2018-02-28,2026-05-28,2.977173960519,1.977173960519,0.162527528699,0.194183744537,-0.257838650624,0.000000000000,3.000000000000,0.336209894855,11
n7,N7 Top-3 Industry Increases,2018-02-28,2026-05-28,2.299445214132,1.299445214132,0.121806425705,0.150113148466,-0.243952767660,0.090781842340,2.579545454545,1.834478630451,11
n8,N8 Consensus Rotation Tilt,2019-02-28,2026-05-28,1.833042668482,0.833042668482,0.087246354667,0.120937610049,-0.191717854166,0.606647457611,0.931818181818,0.723347940528,10
