date,nav_start,cash_start,pnl_day,nav_pre_rebalance,nav_end,return_day,cum_return,cash_end,gross_exposure_end,position_count_end,rebalance_executed_flag,rebalance_id,buys_count,sells_count,peak_nav_to_date,drawdown_to_date
2019-08-07,1.000000000000,1.000000000000,0.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,1,1,P1-R001,1,0,1.000000000000,0.000000000000
2019-08-08,1.000000000000,0.000000000000,0.082367758186,1.082367758186,1.082367758186,0.082367758186,0.082367758186,0.000000000000,1.000000000000,1,0,,0,0,1.082367758186,0.000000000000
2019-08-09,1.082367758186,0.000000000000,-0.073551662469,1.008816095718,1.008816095718,-0.067954410054,0.008816095718,0.000000000000,1.000000000000,1,0,,0,0,1.082367758186,-0.067954410054
2019-08-12,1.008816095718,0.000000000000,-0.076826171285,0.931989924433,0.931989924433,-0.076154783425,-0.068010075567,0.000000000000,1.000000000000,1,0,,0,0,1.082367758186,-0.138934140098
2019-08-13,0.931989924433,0.000000000000,-0.013853904282,0.918136020151,0.918136020151,-0.014864864865,-0.081863979849,0.000000000000,1.000000000000,1,0,,0,0,1.082367758186,-0.151733767745
2019-08-14,0.918136020151,0.000000000000,-0.062720403023,0.855415617128,0.855415617128,-0.068312757202,-0.144584382872,0.000000000000,1.000000000000,1,0,,0,0,1.082367758186,-0.209681172911
2019-08-15,0.855415617128,0.000000000000,-0.018639798489,0.836775818640,0.836775818640,-0.021790341578,-0.163224181360,0.000000000000,1.000000000000,1,0,,0,0,1.082367758186,-0.226902490109
2019-08-16,0.836775818640,0.000000000000,0.050629722922,0.887405541562,0.887405541562,0.060505719446,-0.112594458438,0.000000000000,1.000000000000,1,0,,0,0,1.082367758186,-0.180125669071
2019-08-19,0.887405541562,0.000000000000,-0.015617128463,0.871788413098,0.871788413098,-0.017598637525,-0.128211586902,0.000000000000,1.000000000000,1,0,,0,0,1.082367758186,-0.194554340237
2019-08-20,0.871788413098,0.000000000000,0.017128463476,0.888916876574,0.888916876574,0.019647500722,-0.111083123426,0.000000000000,1.000000000000,1,0,,0,0,1.082367758186,-0.178729346055
2019-08-21,0.888916876574,0.000000000000,-0.009571788413,0.879345088161,0.879345088161,-0.010767922924,-0.120654911839,0.000000000000,1.000000000000,1,0,,0,0,1.082367758186,-0.187572725157
2019-08-22,0.879345088161,0.000000000000,-0.022921914358,0.856423173804,0.856423173804,-0.026067029504,-0.143576826196,0.000000000000,1.000000000000,1,0,,0,0,1.082367758186,-0.208750290901
2019-08-23,0.856423173804,0.000000000000,-0.014357682620,0.842065491184,0.842065491184,-0.016764705882,-0.157934508816,0.000000000000,1.000000000000,1,0,,0,0,1.082367758186,-0.222015359553
