aggregation_level,event_family,sector,window_months,check_name,status,detail
sector,cross_fund_consensus_gained,Communication Services,6,bootstrap_ci_ordered,pass,"excess=(-0.092905211046,0.133728369040) excess_u=(-0.106597701439,0.120035878647) proxy_u=(-0.273910675836,0.115122335174)"
sector,cross_fund_consensus_gained,Communication Services,6,event_count_positive,pass,event_count=2
sector,cross_fund_consensus_gained,Consumer Discretionary,1,bootstrap_ci_ordered,pass,"excess=(-0.020220708510,0.059252758635) excess_u=(-0.020531801681,0.057393233842) proxy_u=(-0.005562947210,0.080228870967)"
sector,cross_fund_consensus_gained,Consumer Discretionary,1,event_count_positive,pass,event_count=5
sector,cross_fund_consensus_gained,Consumer Discretionary,3,bootstrap_ci_ordered,pass,"excess=(-0.021804045146,0.044298651496) excess_u=(-0.028858157724,0.038442354557) proxy_u=(-0.010931859322,0.047654956958)"
sector,cross_fund_consensus_gained,Consumer Discretionary,3,event_count_positive,pass,event_count=5
sector,cross_fund_consensus_gained,Consumer Discretionary,6,bootstrap_ci_ordered,pass,"excess=(-0.019392420712,0.145687436758) excess_u=(-0.029651136264,0.132070870401) proxy_u=(-0.078306164973,0.166298597005)"
sector,cross_fund_consensus_gained,Consumer Discretionary,6,event_count_positive,pass,event_count=5
sector,cross_fund_consensus_gained,Financials,1,bootstrap_ci_ordered,pass,"excess=(-0.053607147140,0.005000718499) excess_u=(-0.053171941236,0.005435924403) proxy_u=(-0.043631059063,0.061912702937)"
sector,cross_fund_consensus_gained,Financials,1,event_count_positive,pass,event_count=4
sector,cross_fund_consensus_gained,Financials,3,bootstrap_ci_ordered,pass,"excess=(-0.090348347284,-0.012942084350) excess_u=(-0.089668682821,-0.012262419887) proxy_u=(-0.078513129371,0.062534203855)"
sector,cross_fund_consensus_gained,Financials,3,event_count_positive,pass,event_count=4
sector,cross_fund_consensus_gained,Financials,6,bootstrap_ci_ordered,pass,"excess=(-0.104867874853,-0.005378128111) excess_u=(-0.106276767344,-0.006787020601) proxy_u=(-0.065948275814,0.134510844163)"
sector,cross_fund_consensus_gained,Financials,6,event_count_positive,pass,event_count=4
sector,cross_fund_consensus_gained,Health Care,1,bootstrap_ci_ordered,pass,"excess=(-0.000161923515,-0.000161923515) excess_u=(0.002188467943,0.002188467943) proxy_u=(0.040210170493,0.040210170493)"
sector,cross_fund_consensus_gained,Health Care,1,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_gained,Health Care,3,bootstrap_ci_ordered,pass,"excess=(0.036649416011,0.036649416011) excess_u=(0.041655652028,0.041655652028) proxy_u=(0.114140363827,0.114140363827)"
sector,cross_fund_consensus_gained,Health Care,3,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_gained,Health Care,6,bootstrap_ci_ordered,pass,"excess=(-0.020890551419,-0.020890551419) excess_u=(-0.010526028533,-0.010526028533) proxy_u=(0.101759814510,0.101759814510)"
sector,cross_fund_consensus_gained,Health Care,6,event_count_positive,pass,event_count=1
sector,cross_fund_consensus_gained,Industrials,1,bootstrap_ci_ordered,pass,"excess=(0.034754237722,0.034754237722) excess_u=(0.033387318387,0.033387318387) proxy_u=(0.093909318705,0.093909318705)"
sector,cross_fund_consensus_gained,Industrials,1,event_count_positive,pass,event_count=1
