aggregation_level,event_family,sector,window_months,event_count,avg_excess_forward_return,bootstrap_ci95_excess_low,bootstrap_ci95_excess_high,avg_excess_minus_unconditional,bootstrap_ci95_excess_minus_unconditional_low,bootstrap_ci95_excess_minus_unconditional_high,avg_proxy_minus_unconditional,bootstrap_ci95_proxy_minus_unconditional_low,bootstrap_ci95_proxy_minus_unconditional_high
family_total,cross_fund_consensus_gained,,1,21,0.004951133483,-0.009365808352,0.018856950382,0.001290353190,-0.012039311167,0.015664887066,0.021138739501,-0.002645752903,0.044217552636
family_total,cross_fund_consensus_gained,,3,21,0.012472705707,-0.014860605181,0.039920468119,0.001587307475,-0.022086699984,0.026279507606,0.020079480871,-0.016226276575,0.054658039241
family_total,cross_fund_consensus_gained,,6,21,0.049273763097,0.000214028618,0.096846310182,0.027319069230,-0.017333578800,0.070778526585,0.052987256253,-0.011100108424,0.114986664488
family_total,cross_fund_consensus_lost,,1,21,0.000171469121,-0.017636593555,0.017811427121,-0.003489311172,-0.020895153215,0.014143137861,-0.022269898685,-0.050825828657,0.005480794212
family_total,cross_fund_consensus_lost,,3,21,0.012246077999,-0.015185470811,0.041203990869,0.001360679766,-0.025140661266,0.027566760405,0.005387756285,-0.032084349779,0.041848813719
family_total,cross_fund_consensus_lost,,6,21,0.030775226511,-0.007983866588,0.069468852819,0.008820532644,-0.026727288197,0.044666202004,0.019406904121,-0.021697986388,0.062732198400
family_total,nbim_overweight_tech,,1,8,0.005417396802,-0.018965796807,0.029674542546,-0.004859127592,-0.028205705993,0.018569583991,-0.026227657298,-0.064818039964,0.011366030717
family_total,nbim_overweight_tech,,3,7,0.015559271561,-0.013938694673,0.052978614015,-0.013183452153,-0.043239983732,0.024706872203,-0.030613678234,-0.063964237986,-0.005632387925
family_total,nbim_overweight_tech,,6,7,0.065489679818,0.009990426270,0.135470344370,0.008773787067,-0.047105200787,0.076513423519,0.008636215874,-0.085857207927,0.098978577072
family_total,nbim_positive_industry_weight_change,,1,22,0.000457291230,-0.014394452436,0.014339234647,-0.003852247880,-0.018691556744,0.010629112647,0.000435185663,-0.022965925773,0.022712690067
family_total,nbim_positive_industry_weight_change,,3,21,-0.008566183841,-0.035841349383,0.026027368668,-0.020332759175,-0.046953211308,0.011944020119,-0.032735703856,-0.058508489832,-0.004035735053
