date,strategy_key,strategy_name,nav_start,nav_end,period_return,cash_end,gross_exposure_end,holding_count,drawdown
2018-02-28,n1,N1 Core US Mirror Equal Weight,1.000000000000,1.000000000000,0.000000000000,0.000000000000,1.000000000000,10,0.000000000000
2018-03-29,n1,N1 Core US Mirror Equal Weight,1.000000000000,0.934051200236,-0.065948799764,0.000000000000,1.000000000000,10,-0.065948799764
2018-04-30,n1,N1 Core US Mirror Equal Weight,0.934051200236,0.954197604714,0.021568843842,0.000000000000,1.000000000000,10,-0.045802395286
2018-05-31,n1,N1 Core US Mirror Equal Weight,0.954197604714,1.007287100774,0.055637842515,0.000000000000,1.000000000000,10,0.000000000000
2018-06-29,n1,N1 Core US Mirror Equal Weight,1.007287100774,1.022592533463,0.015194707326,0.000000000000,1.000000000000,10,0.000000000000
2018-07-31,n1,N1 Core US Mirror Equal Weight,1.022592533463,1.039245583896,0.016285128131,0.000000000000,1.000000000000,10,0.000000000000
2018-08-31,n1,N1 Core US Mirror Equal Weight,1.039245583896,1.105771244766,0.064013416945,0.000000000000,1.000000000000,10,0.000000000000
2018-09-28,n1,N1 Core US Mirror Equal Weight,1.105771244766,1.094695126431,-0.010016645294,0.000000000000,1.000000000000,10,-0.010016645294
2018-10-31,n1,N1 Core US Mirror Equal Weight,1.094695126431,1.016213868089,-0.071692342870,0.000000000000,1.000000000000,10,-0.080990871395
2018-11-30,n1,N1 Core US Mirror Equal Weight,1.016213868089,0.993553199681,-0.022299113522,0.000000000000,1.000000000000,10,-0.101483960282
2018-12-31,n1,N1 Core US Mirror Equal Weight,0.993553199681,0.896337006193,-0.097846993517,0.000000000000,1.000000000000,10,-0.189401053395
2019-01-31,n1,N1 Core US Mirror Equal Weight,0.896337006193,0.956235123492,0.066825442757,0.000000000000,1.000000000000,10,-0.135232419890
2019-02-28,n1,N1 Core US Mirror Equal Weight,0.956235123492,0.976998616590,0.021713794639,-0.000000000000,1.000000000000,10,-0.116455034244
2019-03-29,n1,N1 Core US Mirror Equal Weight,0.976998616590,1.010422346368,0.034210621397,-0.000000000000,1.000000000000,10,-0.086228411934
2019-04-30,n1,N1 Core US Mirror Equal Weight,1.010422346368,1.064346199333,0.053367636968,-0.000000000000,1.000000000000,10,-0.037462581550
2019-05-31,n1,N1 Core US Mirror Equal Weight,1.064346199333,0.943228077731,-0.113795794712,-0.000000000000,1.000000000000,10,-0.146995292023
2019-06-28,n1,N1 Core US Mirror Equal Weight,0.943228077731,1.029995170898,0.091989514748,-0.000000000000,1.000000000000,10,-0.068527802858
2019-07-31,n1,N1 Core US Mirror Equal Weight,1.029995170898,1.058003534722,0.027192713728,-0.000000000000,1.000000000000,10,-0.043198546056
2019-08-30,n1,N1 Core US Mirror Equal Weight,1.058003534722,1.026210620255,-0.030049913279,-0.000000000000,1.000000000000,10,-0.071950346772
2019-09-30,n1,N1 Core US Mirror Equal Weight,1.026210620255,1.052752109142,0.025863588198,-0.000000000000,1.000000000000,10,-0.047947652713
2019-10-31,n1,N1 Core US Mirror Equal Weight,1.052752109142,1.130471784999,0.073825238802,-0.000000000000,1.000000000000,10,0.000000000000
2019-11-29,n1,N1 Core US Mirror Equal Weight,1.130471784999,1.187067714718,0.050063991397,-0.000000000000,1.000000000000,10,0.000000000000
2019-12-31,n1,N1 Core US Mirror Equal Weight,1.187067714718,1.266966778478,0.067307924199,-0.000000000000,1.000000000000,10,0.000000000000
2020-01-31,n1,N1 Core US Mirror Equal Weight,1.266966778478,1.357631533223,0.071560483104,-0.000000000000,1.000000000000,10,0.000000000000
2020-02-28,n1,N1 Core US Mirror Equal Weight,1.357631533223,1.298887785466,-0.043269286489,-0.000000000000,1.000000000000,10,-0.043269286489
2020-03-31,n1,N1 Core US Mirror Equal Weight,1.298887785466,1.147312337031,-0.116696338307,-0.000000000000,1.000000000000,10,-0.154916257501
2020-04-30,n1,N1 Core US Mirror Equal Weight,1.147312337031,1.358783575117,0.184318804271,-0.000000000000,1.000000000000,10,0.000000000000
2020-05-29,n1,N1 Core US Mirror Equal Weight,1.358783575117,1.435164339697,0.056212605140,-0.000000000000,1.000000000000,10,0.000000000000
2020-06-30,n1,N1 Core US Mirror Equal Weight,1.435164339697,1.545033688723,0.076555238998,-0.000000000000,1.000000000000,10,0.000000000000
2020-07-31,n1,N1 Core US Mirror Equal Weight,1.545033688723,1.725446009606,0.116769182575,-0.000000000000,1.000000000000,10,0.000000000000
2020-08-31,n1,N1 Core US Mirror Equal Weight,1.725446009606,2.120374061014,0.228884618359,-0.000000000000,1.000000000000,10,0.000000000000
2020-09-30,n1,N1 Core US Mirror Equal Weight,2.120374061014,1.938280169494,-0.085878192376,-0.000000000000,1.000000000000,10,-0.085878192376
2020-10-30,n1,N1 Core US Mirror Equal Weight,1.938280169494,1.858909550476,-0.040948991929,-0.000000000000,1.000000000000,10,-0.123310558898
2020-11-30,n1,N1 Core US Mirror Equal Weight,1.858909550476,2.168386604771,0.166483115983,-0.000000000000,1.000000000000,10,0.000000000000
2020-12-31,n1,N1 Core US Mirror Equal Weight,2.168386604771,2.353003191340,0.085140069655,-0.000000000000,1.000000000000,10,0.000000000000
2021-01-29,n1,N1 Core US Mirror Equal Weight,2.353003191340,2.447336433865,0.040090571433,-0.000000000000,1.000000000000,10,0.000000000000
2021-02-26,n1,N1 Core US Mirror Equal Weight,2.447336433865,2.395319469091,-0.021254521468,0.000000000000,1.000000000000,10,-0.021254521468
2021-03-31,n1,N1 Core US Mirror Equal Weight,2.395319469091,2.460351875400,0.027149784047,0.000000000000,1.000000000000,10,0.000000000000
2021-04-30,n1,N1 Core US Mirror Equal Weight,2.460351875400,2.660842100699,0.081488435578,0.000000000000,1.000000000000,10,0.000000000000
2021-05-28,n1,N1 Core US Mirror Equal Weight,2.660842100699,2.662532477123,0.000635278743,0.000000000000,1.000000000000,10,0.000000000000
2021-06-30,n1,N1 Core US Mirror Equal Weight,2.662532477123,2.833805733268,0.064327198867,0.000000000000,1.000000000000,10,0.000000000000
2021-07-30,n1,N1 Core US Mirror Equal Weight,2.833805733268,2.859982693177,0.009237386883,0.000000000000,1.000000000000,10,0.000000000000
2021-08-31,n1,N1 Core US Mirror Equal Weight,2.859982693177,3.025229821492,0.057779065834,0.000000000000,1.000000000000,10,0.000000000000
2021-09-30,n1,N1 Core US Mirror Equal Weight,3.025229821492,2.904234383893,-0.039995453152,0.000000000000,1.000000000000,10,-0.039995453152
2021-10-29,n1,N1 Core US Mirror Equal Weight,2.904234383893,3.254577414983,0.120631803354,0.000000000000,1.000000000000,10,0.000000000000
2021-11-30,n1,N1 Core US Mirror Equal Weight,3.254577414983,3.371295284631,0.035862680393,0.000000000000,1.000000000000,10,0.000000000000
2021-12-31,n1,N1 Core US Mirror Equal Weight,3.371295284631,3.345700132022,-0.007592082701,0.000000000000,1.000000000000,10,-0.007592082700
2022-01-31,n1,N1 Core US Mirror Equal Weight,3.345700132022,3.181822561451,-0.048981547689,0.000000000000,1.000000000000,10,-0.056201758429
2022-02-28,n1,N1 Core US Mirror Equal Weight,3.181822561451,3.048737569341,-0.041826654234,0.000000000000,1.000000000000,10,-0.095677681146
2022-03-31,n1,N1 Core US Mirror Equal Weight,3.048737569341,3.277985275349,0.075194306100,0.000000000000,1.000000000000,10,-0.027677791888
2022-04-29,n1,N1 Core US Mirror Equal Weight,3.277985275349,2.820533050245,-0.139552861492,0.000000000000,1.000000000000,10,-0.163368138323
2022-05-31,n1,N1 Core US Mirror Equal Weight,2.820533050245,2.818673133140,-0.000659420426,0.000000000000,1.000000000000,10,-0.163919830461
2022-06-30,n1,N1 Core US Mirror Equal Weight,2.818673133140,2.495697409360,-0.114584312733,0.000000000000,1.000000000000,10,-0.259721502078
2022-07-29,n1,N1 Core US Mirror Equal Weight,2.495697409360,2.824084647446,0.131581351511,0.000000000000,1.000000000000,10,-0.162314656826
2022-08-31,n1,N1 Core US Mirror Equal Weight,2.824084647446,2.684046192036,-0.049587201834,0.000000000000,1.000000000000,10,-0.203853129012
2022-09-30,n1,N1 Core US Mirror Equal Weight,2.684046192036,2.406439805952,-0.103428319120,0.000000000000,1.000000000000,10,-0.286197261651
2022-10-31,n1,N1 Core US Mirror Equal Weight,2.406439805952,2.505651985870,0.041227783746,0.000000000000,1.000000000000,10,-0.256768756717
2022-11-30,n1,N1 Core US Mirror Equal Weight,2.505651985870,2.630828610742,0.049957705850,0.000000000000,1.000000000000,10,-0.219638628887
2022-12-30,n1,N1 Core US Mirror Equal Weight,2.630828610742,2.411950265415,-0.083197493152,0.000000000000,1.000000000000,10,-0.284562738716
