strategy_key,strategy_name,start_date,end_date,final_nav,total_return,cagr,annual_volatility,sharpe_zero_rf,max_drawdown,positive_day_ratio,rebalance_count,orders_count,avg_position_count,median_position_count,avg_max_weight,avg_top3_weight,peak_nav,trough_nav,best_day_return,worst_day_return,total_buys,total_sells
p1,P1 New Positions Mirror,2019-08-07,2025-11-17,0.242235065382,-0.757764934618,-0.202081748141,0.603691383023,0.006190028079,-0.947917360933,0.507594936709,19,259,6.466793,2.000000,0.597205576728,0.763110440807,1.082367758186,0.056372569287,0.382591093117,-0.710451977401,130,129
p2,P2 Full Sleeve Equal Weight,2019-02-14,2026-05-18,0.676972326957,-0.323027673043,-0.052350893641,0.431116341968,0.121849850560,-0.811054598765,0.507667031763,27,1117,18.841817,11.000000,0.236109734950,0.417667142455,2.486984359466,0.469904257664,0.273340194094,-0.500186961618,577,540
p3,P3 Accumulation Tilt,2019-02-14,2026-05-18,0.307366650852,-0.692633349148,-0.150069073000,0.487414252736,-0.019866893850,-0.886629093920,0.503833515882,27,1064,17.858238,11.000000,0.275106838472,0.454186375953,2.110530988833,0.239272810514,0.382591093117,-0.666791307745,550,514
p4,P4 Exit Avoidance,2019-02-14,2026-05-18,0.548491374048,-0.451508625952,-0.079445035249,0.447684895141,0.065262224155,-0.808721939491,0.501095290252,27,1064,17.858238,11.000000,0.258617185601,0.433473688932,2.325973486411,0.444907697277,0.382591093117,-0.500186961618,550,514
p5,P5 Cash-Aware Copy,2019-02-14,2026-05-18,1.489482567877,0.489482567877,0.056451356896,0.382557827949,0.333749122108,-0.626014977737,0.506024096386,23,185,8.501368,5.000000,0.615766839095,0.796662147401,3.982733209110,0.589162785852,0.201695540961,-0.171758346209,94,91
