strategy_key,strategy_name,rebalance_id,trade_date,next_rebalance_trade_date,evaluation_end_date,period_return,included_count,positions_bought_count,positions_sold_count
p3,P3 Accumulation Tilt,P3AT-R002,2019-05-14,2019-08-07,2019-08-06,-0.006715166527,1,1,1
p3,P3 Accumulation Tilt,P3AT-R003,2019-08-07,2019-10-22,2019-10-21,-0.110535606179,2,2,1
p3,P3 Accumulation Tilt,P3AT-R004,2019-10-22,2020-02-05,2020-02-04,1.327608510623,2,2,2
p3,P3 Accumulation Tilt,P3AT-R005,2020-02-05,2020-05-18,2020-05-15,-0.117902743819,1,1,2
p3,P3 Accumulation Tilt,P3AT-R006,2020-05-18,2020-08-17,2020-08-14,0.110609760186,24,24,1
p3,P3 Accumulation Tilt,P3AT-R007,2020-08-17,2020-11-17,2020-11-16,0.174038957786,9,9,24
p3,P3 Accumulation Tilt,P3AT-R008,2020-11-17,2021-05-18,2021-05-17,0.169881673548,7,7,9
p3,P3 Accumulation Tilt,P3AT-R009,2021-05-18,2021-08-17,2021-08-16,-0.074831457643,11,11,7
p3,P3 Accumulation Tilt,P3AT-R010,2021-08-17,2022-10-12,2022-10-11,-0.323475975633,11,11,11
p3,P3 Accumulation Tilt,P3AT-R011,2022-10-12,2022-11-15,2022-11-14,0.222725418034,1,1,11
p3,P3 Accumulation Tilt,P3AT-R012,2022-11-15,2022-12-23,2022-12-22,-0.090830883956,49,49,1
p3,P3 Accumulation Tilt,P3AT-R013,2022-12-23,2023-02-15,2023-02-14,0.156605981533,48,48,49
p3,P3 Accumulation Tilt,P3AT-R014,2023-02-15,2023-05-16,2023-05-15,-0.072810260185,47,47,48
p3,P3 Accumulation Tilt,P3AT-R015,2023-05-16,2023-08-15,2023-08-14,0.085620317116,46,46,47
p3,P3 Accumulation Tilt,P3AT-R016,2023-08-15,2023-11-15,2023-11-14,-0.033624799242,46,46,46
p3,P3 Accumulation Tilt,P3AT-R017,2023-11-15,2024-02-15,2024-02-14,0.059359879487,48,48,46
p3,P3 Accumulation Tilt,P3AT-R018,2024-02-15,2024-05-16,2024-05-15,0.008707670085,47,47,48
p3,P3 Accumulation Tilt,P3AT-R019,2024-05-16,2024-10-01,2024-09-30,0.033709956765,21,21,47
p3,P3 Accumulation Tilt,P3AT-R020,2024-10-01,2024-11-15,2024-11-14,0.142332415060,1,1,21
p3,P3 Accumulation Tilt,P3AT-R021,2024-11-15,2025-02-18,2025-02-14,0.263055903591,26,26,1
p3,P3 Accumulation Tilt,P3AT-R022,2025-02-18,2025-05-16,2025-05-15,-0.060467243493,25,25,26
p3,P3 Accumulation Tilt,P3AT-R023,2025-05-16,2025-08-15,2025-08-14,0.227861091092,23,23,25
p3,P3 Accumulation Tilt,P3AT-R024,2025-08-15,2025-11-17,2025-11-14,-0.044803165591,6,6,23
p3,P3 Accumulation Tilt,P3AT-R025,2025-11-17,2026-02-18,2026-02-17,-0.211151248366,5,5,6
p3,P3 Accumulation Tilt,P3AT-R026,2026-02-18,2026-05-18,2026-05-15,-0.190021211230,4,4,5
p4,P4 Exit Avoidance,P4EA-R001,2019-02-14,2019-05-14,2019-05-13,-0.252691057822,1,1,0
p4,P4 Exit Avoidance,P4EA-R002,2019-05-14,2019-08-07,2019-08-06,-0.006715166527,1,1,1
p4,P4 Exit Avoidance,P4EA-R003,2019-08-07,2019-10-22,2019-10-21,-0.061395348815,2,2,1
p4,P4 Exit Avoidance,P4EA-R004,2019-10-22,2020-02-05,2020-02-04,1.327608510623,2,2,2
p4,P4 Exit Avoidance,P4EA-R005,2020-02-05,2020-05-18,2020-05-15,-0.117902743820,1,1,2
p4,P4 Exit Avoidance,P4EA-R006,2020-05-18,2020-08-17,2020-08-14,0.106055985066,24,24,1
p4,P4 Exit Avoidance,P4EA-R007,2020-08-17,2020-11-17,2020-11-16,0.201551643457,9,9,24
p4,P4 Exit Avoidance,P4EA-R008,2020-11-17,2021-05-18,2021-05-17,0.202768922290,7,7,9
p4,P4 Exit Avoidance,P4EA-R009,2021-05-18,2021-08-17,2021-08-16,-0.074831457643,11,11,7
p4,P4 Exit Avoidance,P4EA-R010,2021-08-17,2022-10-12,2022-10-11,-0.323475975633,11,11,11
p4,P4 Exit Avoidance,P4EA-R011,2022-10-12,2022-11-15,2022-11-14,0.222725418034,1,1,11
p4,P4 Exit Avoidance,P4EA-R012,2022-11-15,2022-12-23,2022-12-22,-0.090228280180,49,49,1
p4,P4 Exit Avoidance,P4EA-R013,2022-12-23,2023-02-15,2023-02-14,0.164089630630,48,48,49
p4,P4 Exit Avoidance,P4EA-R014,2023-02-15,2023-05-16,2023-05-15,-0.048944343464,47,47,48
p4,P4 Exit Avoidance,P4EA-R015,2023-05-16,2023-08-15,2023-08-14,0.091450934556,46,46,47
p4,P4 Exit Avoidance,P4EA-R016,2023-08-15,2023-11-15,2023-11-14,-0.025237870804,46,46,46
p4,P4 Exit Avoidance,P4EA-R017,2023-11-15,2024-02-15,2024-02-14,0.055152293078,48,48,46
p4,P4 Exit Avoidance,P4EA-R018,2024-02-15,2024-05-16,2024-05-15,0.010014315999,47,47,48
p4,P4 Exit Avoidance,P4EA-R019,2024-05-16,2024-10-01,2024-09-30,0.040070331717,21,21,47
