trade_date,issuer_name,symbol,evaluation_end_date,forward_return
2022-12-23,BOOKING HOLDINGS INC,BKNG,2023-02-14,0.253373218480
2022-12-23,COSTCO WHSL CORP NEW,COST,2023-02-14,0.089580641545
2022-12-23,DATADOG INC,DDOG,2023-02-14,0.180336923502
2022-12-23,FREEPORT-MCMORAN INC,FCX,2023-02-14,0.129950923828
2022-12-23,HOME DEPOT INC,HD,2023-02-14,-0.000941304235
2022-12-23,JPMORGAN CHASE & CO,JPM,2023-02-14,0.098796444399
2022-12-23,MICROSOFT CORP,MSFT,2023-02-14,0.140074650131
2022-12-23,NEXTERA ENERGY INC,NEE,2023-02-14,-0.096709070374
2022-12-23,SALESFORCE INC,CRM,2023-02-14,0.313040858149
2022-12-23,STARBUCKS CORP,SBUX,2023-02-14,0.104288001672
2022-12-23,ZOOM VIDEO COMMUNICATIONS IN,ZM,2023-02-14,0.182273486113
2023-02-15,BABYLON HLDGS LTD,BBLNF,2023-05-15,-0.918544776119
2023-05-16,BLOOM ENERGY CORP,BE,2023-11-14,-0.058689024390
2023-05-16,LINDE PLC,LIN,2023-11-14,0.111097320648
2023-05-16,PDD HOLDINGS INC,PDD,2023-11-14,0.681563348536
2023-11-15,ADOBE INC,ADBE,2024-02-14,0.015706052309
2023-11-15,ERMENEGILDO ZEGNA N V,ZGN,2024-02-14,0.068908362051
2024-02-15,CARNIVAL CORP,CCL,2024-05-15,-0.023652832972
2024-05-16,NU HLDGS LTD,NU,2024-09-30,0.165670367208
2024-10-01,AMAZON COM INC,AMZN,2024-11-14,0.142332415060
2024-11-15,AIR PRODS & CHEMS INC,APD,2025-02-14,0.002993204868
2024-11-15,ALIBABA GROUP HLDG LTD,BABA,2025-02-14,0.407946857082
2024-11-15,AVERY DENNISON CORP,AVY,2025-02-14,-0.077586219928
2024-11-15,BALLARD PWR SYS INC NEW,BLDP,2025-02-14,0.148437500000
2024-11-15,BEIGENE LTD,BEIGF,2025-02-14,-0.023225806452
2024-11-15,BLOOM ENERGY CORP,BE,2025-02-14,0.201986754967
2024-11-15,CUMMINS INC,CMI,2025-02-14,0.038066231191
2024-11-15,ELECTRONIC ARTS INC,EA,2025-02-14,-0.197143137023
2024-11-15,ERMENEGILDO ZEGNA N V,ZGN,2025-02-14,0.203777980281
2024-11-15,FEDEX CORP,FDX,2025-02-14,-0.086169510671
2024-11-15,LINDE PLC,LIN,2025-02-14,0.020667693776
2024-11-15,LUCID GROUP INC,LCID,2025-02-14,0.646766069652
2024-11-15,META PLATFORMS INC,META,2025-02-14,0.330608795578
