aggregation_level,event_family,sector,window_months,event_count,avg_proxy_forward_return,median_proxy_forward_return,avg_benchmark_forward_return,avg_excess_forward_return,median_excess_forward_return,excess_hit_rate,positive_proxy_hit_rate,best_excess_forward_return,worst_excess_forward_return
sector,cross_fund_consensus_gained,Industrials,1,1,0.105869192109,0.105869192109,0.071114954387,0.034754237722,0.034754237722,1.000000000000,1.000000000000,0.034754237722,0.034754237722
sector,cross_fund_consensus_gained,Industrials,3,1,0.216308148058,0.216308148058,0.168190608465,0.048117539593,0.048117539593,1.000000000000,1.000000000000,0.048117539593,0.048117539593
sector,cross_fund_consensus_gained,Industrials,6,1,0.387748628068,0.387748628068,0.248798381885,0.138950246183,0.138950246183,1.000000000000,1.000000000000,0.138950246183,0.138950246183
sector,cross_fund_consensus_gained,Real Estate,1,1,0.060679776677,0.060679776677,0.065114173609,-0.004434396932,-0.004434396932,0.000000000000,1.000000000000,-0.004434396932,-0.004434396932
sector,cross_fund_consensus_gained,Real Estate,3,1,-0.059748662294,-0.059748662294,0.030801229829,-0.090549892123,-0.090549892123,0.000000000000,0.000000000000,-0.090549892123,-0.090549892123
sector,cross_fund_consensus_gained,Real Estate,6,1,-0.016798567016,-0.016798567016,0.109034825596,-0.125833392612,-0.125833392612,0.000000000000,0.000000000000,-0.125833392612,-0.125833392612
sector,cross_fund_consensus_gained,Technology,1,7,0.027184794041,0.043876714514,0.012543430919,0.014641363122,0.012975599847,0.857142857143,0.857142857143,0.052147194579,-0.016140360992
sector,cross_fund_consensus_gained,Technology,3,7,0.085341752937,0.112031882939,0.025951537077,0.059390215860,0.052684478769,0.857142857143,0.857142857143,0.142715773247,-0.017993315660
sector,cross_fund_consensus_gained,Technology,6,7,0.206097860023,0.214650185616,0.083617150674,0.122480709349,0.164344207787,0.714285714286,1.000000000000,0.256125451593,-0.017034130650
sector,cross_fund_consensus_lost,Communication Services,1,2,0.066603436356,0.066603436356,0.070041321136,-0.003437884778,-0.003437884778,0.500000000000,1.000000000000,0.066122903637,-0.072998673194
sector,cross_fund_consensus_lost,Communication Services,3,2,0.133305249556,0.133305249556,0.108413517673,0.024891731883,0.024891731883,0.500000000000,1.000000000000,0.111813052395,-0.062029588628
sector,cross_fund_consensus_lost,Communication Services,6,2,0.232493960868,0.232493960868,0.130819362638,0.101674598230,0.101674598230,1.000000000000,1.000000000000,0.162657675870,0.040691520590
sector,cross_fund_consensus_lost,Consumer Discretionary,1,5,-0.013925324541,0.020642415989,-0.022515104542,0.008589780001,0.011994812801,0.600000000000,0.600000000000,0.039230045167,-0.020900344871
sector,cross_fund_consensus_lost,Consumer Discretionary,3,5,0.014578503582,0.002119297750,-0.011193670690,0.025772174273,0.002474098567,0.600000000000,0.600000000000,0.140826689054,-0.033926783101
sector,cross_fund_consensus_lost,Consumer Discretionary,6,5,0.094201183499,0.095467952357,0.037709712907,0.056491470592,0.059996397849,0.800000000000,1.000000000000,0.149778471695,-0.090482635035
sector,cross_fund_consensus_lost,Financials,1,4,-0.055798308497,-0.038337817340,-0.028115141864,-0.027683166633,-0.015562441042,0.250000000000,0.000000000000,0.000373859079,-0.079981643530
sector,cross_fund_consensus_lost,Financials,3,4,0.008753140499,0.017597242056,0.031471669508,-0.022718529009,-0.005233367712,0.250000000000,0.500000000000,0.041176377468,-0.121583758080
sector,cross_fund_consensus_lost,Financials,6,4,0.076131159998,0.024730571175,0.079093168493,-0.002962008495,-0.005853430853,0.500000000000,0.750000000000,0.102356828615,-0.102498000888
sector,cross_fund_consensus_lost,Health Care,1,1,0.001446790152,0.001446790152,0.021912037828,-0.020465247677,-0.020465247677,0.000000000000,1.000000000000,-0.020465247677,-0.020465247677
sector,cross_fund_consensus_lost,Health Care,3,1,0.010857486304,0.010857486304,0.063397153367,-0.052539667063,-0.052539667063,0.000000000000,1.000000000000,-0.052539667063,-0.052539667063
sector,cross_fund_consensus_lost,Health Care,6,1,0.059986732377,0.059986732377,0.089621493743,-0.029634761367,-0.029634761367,0.000000000000,1.000000000000,-0.029634761367,-0.029634761367
sector,cross_fund_consensus_lost,Industrials,1,1,0.032395943621,0.032395943621,-0.001585352570,0.033981296191,0.033981296191,1.000000000000,1.000000000000,0.033981296191,0.033981296191
sector,cross_fund_consensus_lost,Industrials,3,1,0.139815161663,0.139815161663,0.079228857937,0.060586303726,0.060586303726,1.000000000000,1.000000000000,0.060586303726,0.060586303726
sector,cross_fund_consensus_lost,Industrials,6,1,0.175074954518,0.175074954518,0.213049173756,-0.037974219237,-0.037974219237,0.000000000000,1.000000000000,-0.037974219237,-0.037974219237
sector,cross_fund_consensus_lost,Real Estate,1,1,-0.077152795319,-0.077152795319,-0.065324462288,-0.011828333031,-0.011828333031,0.000000000000,0.000000000000,-0.011828333031,-0.011828333031
sector,cross_fund_consensus_lost,Real Estate,3,1,-0.072138730673,-0.072138730673,0.000996600558,-0.073135331231,-0.073135331231,0.000000000000,0.000000000000,-0.073135331231,-0.073135331231
sector,cross_fund_consensus_lost,Real Estate,6,1,-0.068618057707,-0.068618057707,0.042155496160,-0.110773553866,-0.110773553866,0.000000000000,0.000000000000,-0.110773553866,-0.110773553866
sector,cross_fund_consensus_lost,Technology,1,7,0.005069258158,0.006994855485,-0.005869695005,0.010938953163,0.002694833219,0.571428571429,0.571428571429,0.080051751525,-0.074075587452
