event_family,event_label,event_date,analysis_start_date,target_end_date,actual_end_date,window_months,window_label,actual_horizon_days,sector,proxy_symbol,benchmark_symbol,signal_strength,signal_context,source,proxy_start_close,proxy_end_close,proxy_forward_return,benchmark_start_close,benchmark_end_close,benchmark_forward_return,excess_forward_return
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2024-11-15,2024-11-15,2024-12-15,2024-12-16,1,1m,31,Technology,XLK,VT,0.51927213,consensus:no->yes,swf_signal_states,112.60899000,118.87680000,0.055659943314,115.11819000,118.65372000,0.030712175026,0.024947768287
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2024-11-15,2024-11-15,2025-02-15,2025-02-18,3,3m,95,Technology,XLK,VT,0.51927213,consensus:no->yes,swf_signal_states,112.60899000,119.62136000,0.062271848811,115.11819000,121.30664000,0.053757360153,0.008514488658
cross_fund_consensus_gained,Cross-Fund Consensus Gained,2024-11-15,2024-11-15,2025-05-15,2025-05-15,6,6m,181,Technology,XLK,VT,0.51927213,consensus:no->yes,swf_signal_states,112.60899000,116.21864000,0.032054723162,115.11819000,120.76921000,0.049088853812,-0.017034130650
pif_expanding,PIF Expanding,2024-11-15,2024-11-15,2024-12-15,2024-12-16,1,1m,31,,SPY,CASH,2.50000000,state_change:contracting->expanding,swf_signal_states,575.46899000,596.13967000,0.035919711330,1.00000000,1.00000000,0.000000000000,0.035919711330
pif_expanding,PIF Expanding,2024-11-15,2024-11-15,2025-02-15,2025-02-18,3,3m,95,,SPY,CASH,2.50000000,state_change:contracting->expanding,swf_signal_states,575.46899000,602.77189000,0.047444606876,1.00000000,1.00000000,0.000000000000,0.047444606876
pif_expanding,PIF Expanding,2024-11-15,2024-11-15,2025-05-15,2025-05-15,6,6m,181,,SPY,CASH,2.50000000,state_change:contracting->expanding,swf_signal_states,575.46899000,583.78691000,0.014454158512,1.00000000,1.00000000,0.000000000000,0.014454158512
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2025-02-18,2025-02-18,2025-03-18,2025-03-18,1,1m,28,Financials,XLF,VT,0.00223565,consensus:yes->no,swf_signal_states,51.19472000,48.11342000,-0.060187847497,121.30664000,115.25941000,-0.049850774863,-0.010337072634
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2025-02-18,2025-02-18,2025-05-18,2025-05-19,3,3m,90,Financials,XLF,VT,0.00223565,consensus:yes->no,swf_signal_states,51.19472000,50.83809000,-0.006966148072,121.30664000,121.69201000,0.003176825275,-0.010142973347
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2025-02-18,2025-02-18,2025-08-18,2025-08-18,6,6m,181,Financials,XLF,VT,0.00223565,consensus:yes->no,swf_signal_states,51.19472000,51.88136000,0.013412320646,121.30664000,131.63258000,0.085122628077,-0.071710307432
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2025-02-18,2025-02-18,2025-03-18,2025-03-18,1,1m,28,Technology,XLK,VT,0.08406516,consensus:yes->no,swf_signal_states,119.62136000,104.79712000,-0.123926362315,121.30664000,115.25941000,-0.049850774863,-0.074075587452
