strategy_key,strategy_name,benchmark_key,window_count,positive_excess_window_count,negative_excess_window_count,beat_benchmark_hit_rate,positive_contribution_window_count,negative_contribution_window_count,avg_window_excess_return,median_window_excess_return,best_window_excess_return,worst_window_excess_return,final_relative_excess_nav,top1_positive_contribution_share,top3_positive_contribution_share,positive_contribution_hhi,top3_absolute_contribution_share,positive_contribution_total,negative_contribution_total
p5,P5 Cash-Aware Copy,SPY,23,9,14,0.391304347826,11,12,0.031234865892,-0.030722325219,1.980668625898,-0.429212403313,-1.510841003191,0.415220410049,0.785857498829,0.279924751281,0.473232390560,3.548559425977,-5.059400429168
n4,N4 Industry Weight-Change Tilt,VT,11,6,5,0.545454545455,7,4,0.028396590536,0.006148060583,0.158719399543,-0.075055099183,0.712040606969,0.435248749168,0.825166954925,0.277186121829,0.641061024794,0.998919776865,-0.286879169896
n6,N6 Top-3 Industry Leaders,VT,11,7,4,0.636363636364,8,3,0.025381132741,0.012217494495,0.112132934259,-0.100625213943,0.644383726332,0.235836858465,0.663776831088,0.188878510093,0.525236745474,0.926624282887,-0.282240556555
s1,S1 Exposure Regime Overlay,VT,37,16,20,0.432432432432,17,19,0.000420875735,-0.002591607747,0.113172591897,-0.063149934112,0.047203779906,0.193690680581,0.481463255147,0.119050617635,0.257369627346,0.870131471881,-0.822927691975
