event_family,event_date,sector,window_months,check_name,status,detail
nbim_positive_industry_weight_change,2020-02-26,Technology,3,date_order_valid,pass,2020-02-26 -> 2020-05-26
nbim_positive_industry_weight_change,2020-02-26,Technology,6,date_order_valid,pass,2020-02-26 -> 2020-08-26
cross_fund_consensus_gained,2020-05-18,Financials,1,date_order_valid,pass,2020-05-18 -> 2020-06-18
cross_fund_consensus_gained,2020-05-18,Financials,3,date_order_valid,pass,2020-05-18 -> 2020-08-18
cross_fund_consensus_gained,2020-05-18,Financials,6,date_order_valid,pass,2020-05-18 -> 2020-11-18
cross_fund_consensus_gained,2020-05-18,Industrials,1,date_order_valid,pass,2020-05-18 -> 2020-06-18
cross_fund_consensus_gained,2020-05-18,Industrials,3,date_order_valid,pass,2020-05-18 -> 2020-08-18
cross_fund_consensus_gained,2020-05-18,Industrials,6,date_order_valid,pass,2020-05-18 -> 2020-11-18
pif_expanding,2020-05-18,,1,date_order_valid,pass,2020-05-18 -> 2020-06-18
pif_expanding,2020-05-18,,3,date_order_valid,pass,2020-05-18 -> 2020-08-18
pif_expanding,2020-05-18,,6,date_order_valid,pass,2020-05-18 -> 2020-11-18
cross_fund_consensus_lost,2020-08-17,Financials,1,date_order_valid,pass,2020-08-17 -> 2020-09-17
cross_fund_consensus_lost,2020-08-17,Financials,3,date_order_valid,pass,2020-08-17 -> 2020-11-17
cross_fund_consensus_lost,2020-08-17,Financials,6,date_order_valid,pass,2020-08-17 -> 2021-02-17
cross_fund_consensus_lost,2020-08-17,Industrials,1,date_order_valid,pass,2020-08-17 -> 2020-09-17
cross_fund_consensus_lost,2020-08-17,Industrials,3,date_order_valid,pass,2020-08-17 -> 2020-11-17
cross_fund_consensus_lost,2020-08-17,Industrials,6,date_order_valid,pass,2020-08-17 -> 2021-02-17
cross_fund_consensus_lost,2020-08-17,Technology,1,date_order_valid,pass,2020-08-17 -> 2020-09-17
cross_fund_consensus_lost,2020-08-17,Technology,3,date_order_valid,pass,2020-08-17 -> 2020-11-17
cross_fund_consensus_lost,2020-08-17,Technology,6,date_order_valid,pass,2020-08-17 -> 2021-02-17
pif_contracting,2020-08-17,,1,date_order_valid,pass,2020-08-17 -> 2020-09-17
pif_contracting,2020-08-17,,3,date_order_valid,pass,2020-08-17 -> 2020-11-17
pif_contracting,2020-08-17,,6,date_order_valid,pass,2020-08-17 -> 2021-02-17
nbim_overweight_tech,2021-02-26,Technology,1,date_order_valid,pass,2021-02-26 -> 2021-03-26
nbim_overweight_tech,2021-02-26,Technology,3,date_order_valid,pass,2021-02-26 -> 2021-05-26
nbim_overweight_tech,2021-02-26,Technology,6,date_order_valid,pass,2021-02-26 -> 2021-08-26
nbim_positive_industry_weight_change,2021-02-26,Consumer Discretionary,1,date_order_valid,pass,2021-02-26 -> 2021-03-26
nbim_positive_industry_weight_change,2021-02-26,Consumer Discretionary,3,date_order_valid,pass,2021-02-26 -> 2021-05-26
nbim_positive_industry_weight_change,2021-02-26,Consumer Discretionary,6,date_order_valid,pass,2021-02-26 -> 2021-08-26
nbim_positive_industry_weight_change,2021-02-26,Technology,1,date_order_valid,pass,2021-02-26 -> 2021-03-26
nbim_positive_industry_weight_change,2021-02-26,Technology,3,date_order_valid,pass,2021-02-26 -> 2021-05-26
nbim_positive_industry_weight_change,2021-02-26,Technology,6,date_order_valid,pass,2021-02-26 -> 2021-08-26
cross_fund_consensus_gained,2021-05-18,Consumer Discretionary,1,date_order_valid,pass,2021-05-18 -> 2021-06-18
cross_fund_consensus_gained,2021-05-18,Consumer Discretionary,3,date_order_valid,pass,2021-05-18 -> 2021-08-18
cross_fund_consensus_gained,2021-05-18,Consumer Discretionary,6,date_order_valid,pass,2021-05-18 -> 2021-11-18
cross_fund_consensus_gained,2021-05-18,Financials,1,date_order_valid,pass,2021-05-18 -> 2021-06-18
