date,strategy_key,strategy_name,nav_start,nav_end,period_return,cash_end,gross_exposure_end,holding_count,drawdown
2018-03-02,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0,0.000000000000
2018-03-29,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0,0.000000000000
2018-04-30,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0,0.000000000000
2018-05-31,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0,0.000000000000
2018-06-29,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0,0.000000000000
2018-07-31,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0,0.000000000000
2018-08-31,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0,0.000000000000
2018-09-28,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0,0.000000000000
2018-10-31,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0,0.000000000000
2018-11-30,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0,0.000000000000
2018-12-31,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0,0.000000000000
2019-01-31,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0,0.000000000000
2019-02-28,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0,0.000000000000
2019-03-04,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.000000000000,0.000000000000,0.000000000000,1.000000000000,6,0.000000000000
2019-03-29,n4,N4 Industry Weight-Change Tilt,1.000000000000,1.025064789513,0.025064789513,0.000000000000,1.000000000000,6,0.000000000000
2019-04-30,n4,N4 Industry Weight-Change Tilt,1.025064789513,1.048012594201,0.022386687089,0.000000000000,1.000000000000,6,0.000000000000
2019-05-31,n4,N4 Industry Weight-Change Tilt,1.048012594201,0.986303036608,-0.058882458030,0.000000000000,1.000000000000,6,-0.058882458030
2019-06-28,n4,N4 Industry Weight-Change Tilt,0.986303036608,1.062849733492,0.077609714299,0.000000000000,1.000000000000,6,0.000000000000
2019-07-31,n4,N4 Industry Weight-Change Tilt,1.062849733492,1.071478089437,0.008118133423,0.000000000000,1.000000000000,6,0.000000000000
2019-08-30,n4,N4 Industry Weight-Change Tilt,1.071478089437,1.058790911317,-0.011840819001,0.000000000000,1.000000000000,6,-0.011840819001
2019-09-30,n4,N4 Industry Weight-Change Tilt,1.058790911317,1.073784664307,0.014161202963,0.000000000000,1.000000000000,6,0.000000000000
2019-10-31,n4,N4 Industry Weight-Change Tilt,1.073784664307,1.106732942878,0.030684251384,0.000000000000,1.000000000000,6,0.000000000000
2019-11-29,n4,N4 Industry Weight-Change Tilt,1.106732942878,1.150581369604,0.039619699592,0.000000000000,1.000000000000,6,0.000000000000
2019-12-31,n4,N4 Industry Weight-Change Tilt,1.150581369604,1.198406315923,0.041565896670,0.000000000000,1.000000000000,6,0.000000000000
2020-01-31,n4,N4 Industry Weight-Change Tilt,1.198406315923,1.201365308856,0.002469106590,0.000000000000,1.000000000000,6,0.000000000000
2020-02-28,n4,N4 Industry Weight-Change Tilt,1.201365308856,1.110406308721,-0.075713023728,0.000000000000,1.000000000000,3,-0.075713023728
2020-03-31,n4,N4 Industry Weight-Change Tilt,1.110406308721,0.998799152516,-0.100510196428,0.000000000000,1.000000000000,3,-0.168613289269
2020-04-30,n4,N4 Industry Weight-Change Tilt,0.998799152516,1.127489711327,0.128845282344,0.000000000000,1.000000000000,3,-0.061493033787
2020-05-29,n4,N4 Industry Weight-Change Tilt,1.127489711327,1.205073262812,0.068810873133,0.000000000000,1.000000000000,3,0.000000000000
2020-06-30,n4,N4 Industry Weight-Change Tilt,1.205073262812,1.281906153740,0.063757858795,0.000000000000,1.000000000000,3,0.000000000000
