date,strategy_key,strategy_name,execution_variant,execution_label,signal_lag_trading_days,nav_end,cum_return,cash_weight_end,primary_benchmark_key,primary_benchmark_nav,relative_to_primary,secondary_benchmark_key,secondary_benchmark_nav,relative_to_secondary
2020-06-30,p5,P5 Cash-Aware Copy,t1,T+1,1,2.536791925120,1.536791925120,0.000000000000,SPY,1.156759337052,2.193016164957,,,
2020-07-01,p5,P5 Cash-Aware Copy,t1,T+1,1,2.538722647442,1.538722647442,0.000000000000,SPY,1.164862221116,2.179418820030,,,
2020-07-02,p5,P5 Cash-Aware Copy,t1,T+1,1,2.538492627927,1.538492627927,0.000000000000,SPY,1.171277060184,2.167286216233,,,
2020-07-06,p5,P5 Cash-Aware Copy,t1,T+1,1,2.581237381385,1.581237381385,0.000000000000,SPY,1.189358370677,2.170277222597,,,
2020-07-07,p5,P5 Cash-Aware Copy,t1,T+1,1,2.514402273619,1.514402273619,0.000000000000,SPY,1.177091590840,2.136114379871,,,
2020-07-08,p5,P5 Cash-Aware Copy,t1,T+1,1,2.546608747626,1.546608747626,0.000000000000,SPY,1.186094734427,2.147053412943,,,
2020-07-09,p5,P5 Cash-Aware Copy,t1,T+1,1,2.486534595935,1.486534595935,0.000000000000,SPY,1.179342371660,2.108407749681,,,
2020-07-10,p5,P5 Cash-Aware Copy,t1,T+1,1,2.562858651131,1.562858651131,0.000000000000,SPY,1.191384122157,2.151160657144,,,
2020-07-13,p5,P5 Cash-Aware Copy,t1,T+1,1,2.530416570494,1.530416570494,0.000000000000,SPY,1.181067989243,2.142481714465,,,
2020-07-14,p5,P5 Cash-Aware Copy,t1,T+1,1,2.558065054229,1.558065054229,0.000000000000,SPY,1.196373436919,2.138182757397,,,
2020-07-15,p5,P5 Cash-Aware Copy,t1,T+1,1,2.660570892506,1.660570892506,0.000000000000,SPY,1.207364820327,2.203618034677,,,
