security_key,issuer_name,cusip,title_of_class,baseline_price_eligible_flag,eligibility_note,selected_symbol,selected_exchange,selected_type,selected_country,selected_score,mapping_source,mapping_status,mapping_notes
172967424|COM NEW||SH|CITIGROUP INC,CITIGROUP INC,172967424,COM NEW,1,,C,NYSE,Common Stock,United States,16,twelvedata_search,auto_approved,
204833206|UNIT 99/99/9999||SH|COMPUTE HEALTH ACQUISITIN CO,COMPUTE HEALTH ACQUISITIN CO,204833206,UNIT 99/99/9999,1,,POAI,NASDAQ,Common Stock,United States,verified,manual_override,approved,Verified against Twelve Data time_series.
22160K105|COM||SH|COSTCO WHSL CORP NEW,COSTCO WHSL CORP NEW,22160K105,COM,1,,COST,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
22266T109|CL A||SH|COUPANG INC,COUPANG INC,22266T109,CL A,1,,CPNG,NYSE,Common Stock,United States,16,twelvedata_search,auto_approved,
231021106|COM||SH|CUMMINS INC,CUMMINS INC,231021106,COM,1,,CMI,NYSE,Common Stock,United States,17,twelvedata_search,auto_approved,
23804L103|CL A COM||SH|DATADOG INC,DATADOG INC,23804L103,CL A COM,1,,DDOG,NASDAQ,Common Stock,United States,13,twelvedata_search,auto_approved,
254687106|COM DISNEY||SH|DISNEY WALT CO,DISNEY WALT CO,254687106,COM DISNEY,1,,DIS,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
25809K105|CL A||SH|DOORDASH INC,DOORDASH INC,25809K105,CL A,1,,DASH,NASDAQ,Common Stock,United States,16,twelvedata_search,auto_approved,
285512109|COM||SH|ELECTRONIC ARTS INC,ELECTRONIC ARTS INC,285512109,COM,1,,EA,NASDAQ,Common Stock,United States,17,twelvedata_search,auto_approved,
30303M102|CL A||SH|FACEBOOK INC,FACEBOOK INC,30303M102,CL A,1,,META,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
30303M102|CL A||SH|META PLATFORMS INC,META PLATFORMS INC,30303M102,CL A,1,,META,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
30744W107|ORD SH CL A||SH|FARFETCH LTD,FARFETCH LTD,30744W107,ORD SH CL A,1,,FTCHQ,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
31428X106|COM||SH|FEDEX CORP,FEDEX CORP,31428X106,COM,1,,FDX,NYSE,Common Stock,United States,17,twelvedata_search,auto_approved,
35671D857|CL B||SH|FREEPORT-MCMORAN INC,FREEPORT-MCMORAN INC,35671D857,CL B,1,,FCX,NYSE,Common Stock,United States,16,twelvedata_search,auto_approved,
437076102|COM||SH|HOME DEPOT INC,HOME DEPOT INC,437076102,COM,1,,HD,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
44951Y102|COM CL A||SH|HYZON MOTORS INC,HYZON MOTORS INC,44951Y102,COM CL A,1,,,,,,,twelvedata_search,needs_review,
459200101|COM||SH|INTERNATIONAL BUSINESS MACHS,INTERNATIONAL BUSINESS MACHS,459200101,COM,1,,IBM,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
46625H100|COM||SH|JPMORGAN CHASE & CO,JPMORGAN CHASE & CO,46625H100,COM,1,,JPM,NYSE,Common Stock,United States,17,twelvedata_search,auto_approved,
48214T305|SPONSORED ADS||SH|JUST EAT TAKEAWAY COM N V,JUST EAT TAKEAWAY COM N V,48214T305,SPONSORED ADS,1,,JTKWY,US,ADR,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
538034109|COM||SH|LIVE NATION ENTERTAINMENT IN,LIVE NATION ENTERTAINMENT IN,538034109,COM,1,,LYV,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
549498103|COM||SH|LUCID GROUP INC,LUCID GROUP INC,549498103,COM,1,,LCID,NASDAQ,Common Stock,United States,17,twelvedata_search,auto_approved,
549498202|COM NEW||SH|LUCID GROUP INC,LUCID GROUP INC,549498202,COM NEW,1,,LCID,NASDAQ,Common Stock,United States,16,twelvedata_search,auto_approved,
571903202|CL A||SH|MARRIOTT INTL INC NEW,MARRIOTT INTL INC NEW,571903202,CL A,1,,MAR,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
594918104|COM||SH|MICROSOFT CORP,MICROSOFT CORP,594918104,COM,1,,MSFT,NASDAQ,Common Stock,United States,17,twelvedata_search,auto_approved,
62548M100|COM||SH|MULTIPLAN CORPORATION,MULTIPLAN CORPORATION,62548M100,COM,1,,MPLN,NYSE,Common Stock,United States,verified,manual_override,approved,Verified against Twelve Data time_series.
62548M209|CL A NEW||SH|CLARITEV CORPORATION,CLARITEV CORPORATION,62548M209,CL A NEW,1,,MPLN,NYSE,Common Stock,United States,16,twelvedata_search,auto_approved,
62548M209|CL A NEW||SH|MULTIPLAN CORPORATION,MULTIPLAN CORPORATION,62548M209,CL A NEW,1,,CTEV,US,Common Stock,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
65339F101|COM||SH|NEXTERA ENERGY INC,NEXTERA ENERGY INC,65339F101,COM,1,,NEE,NYSE,Common Stock,United States,17,twelvedata_search,auto_approved,
66987E206|COM NEW||SH|NOVAGOLD RES INC,NOVAGOLD RES INC,66987E206,COM NEW,1,,NG,NYSE,Common Stock,United States,13,twelvedata_search,auto_approved,
70450Y103|COM||SH|PAYPAL HLDGS INC,PAYPAL HLDGS INC,70450Y103,COM,1,,PYPL,NASDAQ,Common Stock,United States,17,twelvedata_search,auto_approved,
717081103|COM||SH|PFIZER INC,PFIZER INC,717081103,COM,1,,PFE,NYSE,Common Stock,United States,17,twelvedata_search,auto_approved,
722304102|SPONSORED ADS||SH|PDD HOLDINGS INC,PDD HOLDINGS INC,722304102,SPONSORED ADS,1,,PDD,NASDAQ,American Depositary Receipt,United States,14,twelvedata_search,auto_approved,
722304102|SPONSORED ADS||SH|PINDUODUO INC,PINDUODUO INC,722304102,SPONSORED ADS,1,,PDD,US,ADR,United States,9,openfigi_cusip,auto_approved,Auto-selected from OpenFIGI CUSIP mapping.
