security_key,issuer_name,cusip,title_of_class,baseline_price_eligible_flag,query_name,candidate_symbol,candidate_instrument_name,candidate_exchange,candidate_mic_code,candidate_country,candidate_type,candidate_currency,candidate_score,candidate_rank
007903107|COM||SH|ADVANCED MICRO DEVICES INC,ADVANCED MICRO DEVICES INC,007903107,COM,1,ADVANCED MICRO DEVICES,A1MD34,"Advanced Micro Devices, Inc.",Bovespa,BVMF,Brazil,Depositary Receipt,BRL,10,9
007903107|COM||SH|ADVANCED MICRO DEVICES INC,ADVANCED MICRO DEVICES INC,007903107,COM,1,ADVANCED MICRO DEVICES,AMD,Advanced Micro Devices Inc.,NEO,NEOE,Canada,Depositary Receipt,CAD,10,10
009158106|COM||SH|AIR PRODS & CHEMS INC,AIR PRODS & CHEMS INC,009158106,COM,1,AIR,AIR,AAR Corp.,NYSE,XNYS,United States,Common Stock,USD,9,1
009158106|COM||SH|AIR PRODS & CHEMS INC,AIR PRODS & CHEMS INC,009158106,COM,1,AIR,AIR,Airbus SE,Euronext,XPAR,France,Common Stock,EUR,3,2
009158106|COM||SH|AIR PRODS & CHEMS INC,AIR PRODS & CHEMS INC,009158106,COM,1,AIR,AIR,Airbus SE,XETR,XETR,Germany,Common Stock,EUR,3,3
009158106|COM||SH|AIR PRODS & CHEMS INC,AIR PRODS & CHEMS INC,009158106,COM,1,AIR,AIR,Airbus SE,BME,XMAD,Spain,Common Stock,EUR,3,4
009158106|COM||SH|AIR PRODS & CHEMS INC,AIR PRODS & CHEMS INC,009158106,COM,1,AIR,AIR,Air New Zealand Limited,NZX,XNZE,New Zealand,Common Stock,NZD,3,5
009158106|COM||SH|AIR PRODS & CHEMS INC,AIR PRODS & CHEMS INC,009158106,COM,1,AIR,AIR,Airbus SE,XSTU,XSTU,Germany,Common Stock,EUR,3,6
009158106|COM||SH|AIR PRODS & CHEMS INC,AIR PRODS & CHEMS INC,009158106,COM,1,AIR,AIR,Airbus SE,VSE,XWBO,Austria,Common Stock,EUR,3,7
009158106|COM||SH|AIR PRODS & CHEMS INC,AIR PRODS & CHEMS INC,009158106,COM,1,AIR,AIR,Airbus SE,Munich,XMUN,Germany,Common Stock,EUR,3,8
