rebalance_id,trade_date,signal_date,as_of_date,instrument_key,symbol,display_name,action,price,shares_before,shares_after,delta_shares,target_weight,notional,rationale_text
n4::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLY,XLY,Consumer Services,buy,48.4244600000,0.000000000000,0.003173332765,0.003173332765,0.153666925552,0.153666925552,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLV,XLV,Health Care,buy,81.0151240000,0.000000000000,0.004617158786,0.004617158786,0.374059691557,0.374059691557,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLE,XLE,Oil & Gas,buy,17.4913100000,0.000000000000,0.003595324826,0.003595324826,0.062886941085,0.062886941085,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLK,XLK,Technology,buy,31.1570800000,0.000000000000,0.010366116490,0.010366116490,0.322977920781,0.322977920781,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLC,XLC,Telecommunications,buy,42.8414300000,0.000000000000,0.000791443689,0.000791443689,0.033906579385,0.033906579385,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2019-02-28,2019-02-28,2019-02-27,2018-12-31,sector::XLU,XLU,Utilities,buy,18.5198000000,0.000000000000,0.002834908673,0.002834908673,0.052501941640,0.052501941640,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLI,XLI,Industrials,buy,70.0198770000,0.000000000000,0.003084157676,0.003084157676,0.184462782362,0.215952341129,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLK,XLK,Technology,buy,41.8386000000,0.010366116490,0.022739541436,0.012373424946,0.812661498708,0.517686776932,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLU,XLU,Utilities,sell,23.2577900000,0.002834908673,0.000144752860,-0.002690155813,0.002875718930,0.062567078966,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLY,XLY,Consumer Services,sell,54.8293400000,0.003173332765,0.000000000000,-0.003173332765,0.000000000000,0.173991741113,Remove positions no longer selected by the strategy at this disclosure step.
n4::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLV,XLV,Health Care,sell,87.8148100000,0.004617158786,0.000000000000,-0.004617158786,0.000000000000,0.405454921512,Remove positions no longer selected by the strategy at this disclosure step.
n4::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLE,XLE,Oil & Gas,sell,14.5694800000,0.003595324826,0.000000000000,-0.003595324826,0.000000000000,0.052382013148,Remove positions no longer selected by the strategy at this disclosure step.
n4::2020-02-26,2020-02-26,2020-02-25,2019-12-31,sector::XLC,XLC,Telecommunications,sell,49.5845300000,0.000791443689,0.000000000000,-0.000791443689,0.000000000000,0.039243363322,Remove positions no longer selected by the strategy at this disclosure step.
n4::2021-02-26,2021-02-26,2021-02-25,2020-12-31,sector::XLP,XLP,Consumer Goods,buy,55.2467700000,0.000000000000,0.002348863631,0.002348863631,0.079300341297,0.129767128775,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2021-02-26,2021-02-26,2021-02-25,2020-12-31,sector::XLY,XLY,Consumer Services,buy,74.3588900000,0.000000000000,0.002798918458,0.002798918458,0.127184300341,0.208124469714,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2021-02-26,2021-02-26,2021-02-25,2020-12-31,sector::XLV,XLV,Health Care,buy,103.5750000000,0.000000000000,0.000892141718,0.000892141718,0.056467576792,0.092403578463,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2021-02-26,2021-02-26,2021-02-25,2020-12-31,sector::XLI,XLI,Industrials,sell,83.7288500000,0.003084157676,0.001260024096,-0.001824133580,0.064470989761,0.152732606918,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2021-02-26,2021-02-26,2021-02-25,2020-12-31,sector::XLK,XLK,Technology,sell,60.4691500000,0.022739541436,0.018201100702,-0.004538440734,0.672576791809,0.274435653495,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2021-02-26,2021-02-26,2021-02-25,2020-12-31,sector::XLU,XLU,Utilities,sell,21.6017600000,0.000144752860,0.000000000000,-0.000144752860,0.000000000000,0.003126916539,Remove positions no longer selected by the strategy at this disclosure step.
n4::2022-03-04,2022-03-04,2022-03-03,2021-12-31,sector::XLY,XLY,Consumer Discretionary,buy,80.1447000000,0.002798918458,0.010313451844,0.007514533386,0.436675485539,0.602250023883,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2022-03-04,2022-03-04,2022-03-03,2021-12-31,sector::XLP,XLP,Consumer Staples,buy,67.8767100000,0.002348863631,0.005011950909,0.002663087278,0.179724610667,0.180761602904,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2022-03-04,2022-03-04,2022-03-03,2021-12-31,sector::XLE,XLE,Energy,buy,28.4031400000,0.000000000000,0.007466117120,0.007466117120,0.112031747941,0.212061169821,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2022-03-04,2022-03-04,2022-03-03,2021-12-31,sector::XLRE,XLRE,Real Estate,buy,40.4475600000,0.000000000000,0.008832846132,0.008832846132,0.188743911972,0.357267073888,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2022-03-04,2022-03-04,2022-03-03,2021-12-31,sector::XLK,XLK,Technology,sell,70.3436500000,0.018201100702,0.001618398019,-0.016582702684,0.060143707534,1.166487833636,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2022-03-04,2022-03-04,2022-03-03,2021-12-31,sector::XLC,XLC,Telecommunications,buy,63.5683200000,0.000000000000,0.000675355790,0.000675355790,0.022680536348,0.042931232963,Own only industries with positive disclosed weight change versus the prior snapshot.
n4::2022-03-04,2022-03-04,2022-03-03,2021-12-31,sector::XLV,XLV,Health Care,sell,123.6858300000,0.000892141718,0.000000000000,-0.000892141718,0.000000000000,0.110345288894,Remove positions no longer selected by the strategy at this disclosure step.
n4::2022-03-04,2022-03-04,2022-03-03,2021-12-31,sector::XLI,XLI,Industrials,sell,93.9966000000,0.001260024096,0.000000000000,-0.001260024096,0.000000000000,0.118437980931,Remove positions no longer selected by the strategy at this disclosure step.
n4::2023-03-08,2023-03-08,2023-03-07,2022-12-31,sector::XLB,XLB,Basic Materials,buy,36.5085400000,0.000000000000,0.000536208349,0.000536208349,0.011259720062,0.019576183945,Own only industries with positive disclosed weight change versus the prior snapshot.
