instrument_key,instrument_type,display_name,source_ref,requested_symbol,resolved_symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,timezone
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2008-07-31,49.0000,49.6900,46.0100,48.2100,33.0542,743400,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2008-08-29,48.5000,50.0200,46.1400,47.3200,32.4440,719900,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2008-09-30,47.3200,47.6900,35.8500,43.0100,29.4889,1610800,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2008-10-31,41.5900,42.8300,29.0000,33.7899,23.1673,3581500,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2008-11-28,34.6500,35.9900,26.6000,31.4900,21.5905,2968700,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2008-12-31,30.9200,34.6600,28.7500,32.9800,22.7579,5222400,0.2030,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2009-01-30,32.9800,34.7500,28.3700,29.4000,20.2875,2530800,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2009-02-27,29.0000,31.4900,26.3000,26.6000,18.3553,2075400,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2009-03-31,26.2300,30.4524,24.3600,28.9500,19.9770,2912800,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2009-04-30,28.2900,32.9890,28.2900,32.4400,22.3852,1748000,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2009-05-29,32.7400,35.8800,32.3100,35.8800,24.7590,2101900,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2009-06-30,35.9600,37.2500,34.1200,35.2600,24.3312,1561400,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2009-07-31,35.8300,39.0700,33.4400,38.8300,26.7947,3090600,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2009-08-31,39.5600,40.8000,37.8200,39.8700,27.5123,3410100,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2009-09-30,39.8100,43.0000,38.7300,41.9600,28.9545,2895900,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2009-10-30,41.8100,44.0600,40.0000,40.9000,28.2231,4532500,0.0000,
benchmark_vt,benchmark,Vanguard Total World Stock ETF,benchmark,VT,VT,2009-11-30,41.1300,47.4300,40.6300,43.0800,29.7274,3237200,0.0000,
