date,strategy_key,strategy_name,nav_start,nav_end,period_return,cash_end,gross_exposure_end,holding_count,drawdown
2018-02-28,n2,N2 Core US Mirror NBIM Weight,1.000000000000,1.000000000000,0.000000000000,-0.000000000000,1.000000000000,10,0.000000000000
2018-03-29,n2,N2 Core US Mirror NBIM Weight,1.000000000000,0.949056324854,-0.050943675146,-0.000000000000,1.000000000000,10,-0.050943675146
2018-04-30,n2,N2 Core US Mirror NBIM Weight,0.949056324854,0.963075994743,0.014772221123,-0.000000000000,1.000000000000,10,-0.036924005257
2018-05-31,n2,N2 Core US Mirror NBIM Weight,0.963075994743,1.030101019145,0.069594740984,-0.000000000000,1.000000000000,10,0.000000000000
2018-06-29,n2,N2 Core US Mirror NBIM Weight,1.030101019145,1.035519261095,0.005259913202,-0.000000000000,1.000000000000,10,0.000000000000
2018-07-31,n2,N2 Core US Mirror NBIM Weight,1.035519261095,1.072961282401,0.036157725610,-0.000000000000,1.000000000000,10,0.000000000000
2018-08-31,n2,N2 Core US Mirror NBIM Weight,1.072961282401,1.156428551694,0.077791501578,-0.000000000000,1.000000000000,10,0.000000000000
2018-09-28,n2,N2 Core US Mirror NBIM Weight,1.156428551694,1.152915215472,-0.003038091905,-0.000000000000,1.000000000000,10,-0.003038091905
2018-10-31,n2,N2 Core US Mirror NBIM Weight,1.152915215472,1.061357134571,-0.079414409379,-0.000000000000,1.000000000000,10,-0.082211233010
2018-11-30,n2,N2 Core US Mirror NBIM Weight,1.061357134571,1.028494261595,-0.030963067855,-0.000000000000,1.000000000000,10,-0.110628788879
2018-12-31,n2,N2 Core US Mirror NBIM Weight,1.028494261595,0.928952308829,-0.096784159603,-0.000000000000,1.000000000000,10,-0.196705834123
2019-01-31,n2,N2 Core US Mirror NBIM Weight,0.928952308829,1.002009427105,0.078644638246,-0.000000000000,1.000000000000,10,-0.133531055042
2019-02-28,n2,N2 Core US Mirror NBIM Weight,1.002009427105,1.022715177613,0.020664227249,0.000000000000,1.000000000000,10,-0.115626143859
2019-03-29,n2,N2 Core US Mirror NBIM Weight,1.022715177613,1.073708144838,0.049860379841,0.000000000000,1.000000000000,10,-0.071530927471
2019-04-30,n2,N2 Core US Mirror NBIM Weight,1.073708144838,1.151943690664,0.072864815455,0.000000000000,1.000000000000,10,-0.003878199845
2019-05-31,n2,N2 Core US Mirror NBIM Weight,1.151943690664,1.049587190469,-0.088855471864,0.000000000000,1.000000000000,10,-0.092389072432
2019-06-28,n2,N2 Core US Mirror NBIM Weight,1.049587190469,1.126610017313,0.073383924217,0.000000000000,1.000000000000,10,-0.025785020906
2019-07-31,n2,N2 Core US Mirror NBIM Weight,1.126610017313,1.162875769095,0.032190155622,0.000000000000,1.000000000000,10,0.000000000000
2019-08-30,n2,N2 Core US Mirror NBIM Weight,1.162875769095,1.135703166213,-0.023366728936,0.000000000000,1.000000000000,10,-0.023366728935
2019-09-30,n2,N2 Core US Mirror NBIM Weight,1.135703166213,1.161202128688,0.022452136468,0.000000000000,1.000000000000,10,-0.001439225454
2019-10-31,n2,N2 Core US Mirror NBIM Weight,1.161202128688,1.220950772336,0.051454128590,0.000000000000,1.000000000000,10,0.000000000000
2019-11-29,n2,N2 Core US Mirror NBIM Weight,1.220950772336,1.280781249875,0.049003185791,0.000000000000,1.000000000000,10,0.000000000000
