signal_group,signal_id,security_key,issuer_name,cusip,report_period,signal_date,trade_date,signal_type,selected_symbol,selected_exchange,prev_shares,curr_shares,delta_shares,include_flag,exclusion_reason,trade_date_close,trade_date_mark_close,rationale_text
initial_seed,holding:000156761919003482:1,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,2018-12-31,2019-02-13,2019-02-21,initial_seed,TSLA,NASDAQ,,8277080,,1,,291.22999,19.41533,Seed the strategy from the first publicly visible PIF common-equity sleeve.
transition,transition:000156761919015831:2,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,2019-06-30,2019-08-06,2019-08-13,entry_observed,UBER,NYSE,0,72840541,72840541.000000,1,,36.45000,36.45000,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920002012:1,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,2019-12-31,2020-02-04,2020-02-11,likely_reduction,TSLA,NASDAQ,8277080,39151,-8237929.000000,1,,774.37998,51.62533,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:1,053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,2020-03-31,2020-05-15,2020-05-22,entry_observed,ADP,US,0,574000,574000.000000,1,,134.87000,116.99851,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:3,084670702|CL B NEW||SH|BERKSHIRE HATHAWAY INC DEL,BERKSHIRE HATHAWAY INC DEL,084670702,2020-03-31,2020-05-15,2020-05-22,entry_observed,BRK.B,NYSE,0,429000,429000.000000,1,,174.92999,174.92999,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:2,060505104|COM||SH|BK OF AMERICA CORP,BK OF AMERICA CORP,060505104,2020-03-31,2020-05-15,2020-05-22,entry_observed,BAC,US,0,22966034,22966034.000000,1,,22.66000,19.58963,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:4,097023105|COM||SH|BOEING CO,BOEING CO,097023105,2020-03-31,2020-05-15,2020-05-22,entry_observed,BA,NYSE,0,4785281,4785281.000000,1,,137.53000,137.53000,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:5,09857L108|COM||SH|BOOKING HLDGS INC,BOOKING HLDGS INC,09857L108,2020-03-31,2020-05-15,2020-05-22,entry_observed,BKNG,NASDAQ,0,58000,58000.000000,1,,1631.29997,41.58481,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:6,055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,2020-03-31,2020-05-15,2020-05-22,entry_observed,BP,NYSE,0,33938127,33938127.000000,1,,22.98000,16.96123,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:7,11135F101|COM||SH|BROADCOM INC,BROADCOM INC,11135F101,2020-03-31,2020-05-15,2020-05-22,entry_observed,AVGO,NASDAQ,0,323000,323000.000000,1,,276.65001,24.16096,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
