date,nav_start,cash_start,pnl_day,nav_pre_rebalance,nav_end,return_day,cum_return,cash_end,cash_weight_end,gross_exposure_end,position_count_end,rebalance_executed_flag,rebalance_id,buys_count,sells_count,peak_nav_to_date,drawdown_to_date
2019-02-14,1.000000000000,1.000000000000,0.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,0.000000000000,0,0,,0,0,1.000000000000,0.000000000000
2019-02-15,1.000000000000,1.000000000000,0.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,0.000000000000,0,0,,0,0,1.000000000000,0.000000000000
2019-02-19,1.000000000000,1.000000000000,0.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,3,1,S1_T3-R001,3,0,1.000000000000,0.000000000000
2019-02-20,1.000000000000,0.000000000000,0.003832018403,1.003832018403,1.003832018403,0.003832018403,0.003832018403,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.003832018403,0.000000000000
2019-02-21,1.003832018403,0.000000000000,-0.002837192189,1.000994826214,1.000994826214,-0.002826361519,0.000994826214,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.003832018403,-0.002826361519
2019-02-22,1.000994826214,0.000000000000,-0.000128464015,1.000866362199,1.000866362199,-0.000128336343,0.000866362199,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.003832018403,-0.002954335138
2019-02-25,1.000866362199,0.000000000000,0.001607975479,1.002474337678,1.002474337678,0.001606583596,0.002474337678,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.003832018403,-0.001352497928
2019-02-26,1.002474337678,0.000000000000,-0.002030942094,1.000443395584,1.000443395584,-0.002025929261,0.000443395584,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.003832018403,-0.003375687124
2019-02-27,1.000443395584,0.000000000000,0.002473103591,1.002916499175,1.002916499175,0.002472007514,0.002916499175,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.003832018403,-0.000912024334
2019-02-28,1.002916499175,0.000000000000,-0.000946016271,1.001970482904,1.001970482904,-0.000943265239,0.001970482904,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.003832018403,-0.001854429292
2019-03-01,1.001970482904,0.000000000000,0.002782588004,1.004753070908,1.004753070908,0.002777115745,0.004753070908,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.004753070908,0.000000000000
2019-03-04,1.004753070908,0.000000000000,-0.004659163223,1.000093907685,1.000093907685,-0.004637122650,0.000093907685,0.000000000000,0.000000000000,1.000000000000,3,1,S1_T3-R002,3,3,1.004753070908,-0.004637122650
2019-03-05,1.000093907685,0.000000000000,-0.000466427576,0.999627480109,0.999627480109,-0.000466383779,-0.000372519891,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.004753070908,-0.005101343751
2019-03-06,0.999627480109,0.000000000000,-0.008142429692,0.991485050417,0.991485050417,-0.008145464039,-0.008514949583,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.004753070908,-0.013205254978
2019-03-07,0.991485050417,0.000000000000,-0.009701190664,0.981783859753,0.981783859753,-0.009784505233,-0.018216140247,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.004753070908,-0.022860553324
2019-03-08,0.981783859753,0.000000000000,-0.002855299198,0.978928560555,0.978928560555,-0.002908276775,-0.021071439445,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.004753070908,-0.025702345283
2019-03-11,0.978928560555,0.000000000000,0.015458287547,0.994386848103,0.994386848103,0.015791027221,-0.005613151897,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.004753070908,-0.010317184496
2019-03-12,0.994386848103,0.000000000000,0.005371746215,0.999758594318,0.999758594318,0.005402068848,-0.000241405682,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.004753070908,-0.004970849789
2019-03-13,0.999758594318,0.000000000000,0.006997231351,1.006755825668,1.006755825668,0.006998920930,0.006755825668,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.006755825668,0.000000000000
2019-03-14,1.006755825668,0.000000000000,-0.000695870925,1.006059954743,1.006059954743,-0.000691201290,0.006059954743,0.000000000000,0.000000000000,1.000000000000,3,0,,0,0,1.006755825668,-0.000691201290
