date,instrument_key,issuer_name,symbol,sector,shares_end,close_price,market_value_end,weight_end,rebalance_id
2019-05-22,sector::XLV,XLV,XLV,Health Care,0.003309208448,79.62097000,0.263482386556,0.250983775755,
2019-05-22,sector::XLK,XLK,XLK,Technology,0.008594244164,33.00874150,0.283685183991,0.270228228666,
2019-05-23,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,50.11224000,0.238665032943,0.229284032704,
2019-05-23,sector::XLV,XLV,XLV,Health Care,0.003309208448,79.34593000,0.262572221865,0.252251522407,
2019-05-23,sector::XLK,XLK,XLK,Technology,0.008594244164,32.42902000,0.278702915873,0.267748181163,
2019-05-24,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,50.17859000,0.238981032087,0.229417078663,
2019-05-24,sector::XLV,XLV,XLV,Health Care,0.003309208448,79.46127000,0.262953905967,0.252430564900,
2019-05-24,sector::XLK,XLK,XLK,Technology,0.008594244164,32.43787000,0.278778974934,0.267622319075,
2019-05-28,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,49.84681000,0.237400893489,0.229250778070,
2019-05-28,sector::XLV,XLV,XLV,Health Care,0.003309208448,78.32560000,0.259195737209,0.250297391699,
2019-05-28,sector::XLK,XLK,XLK,Technology,0.008594244164,32.34494000,0.277980311824,0.268437080572,
2019-05-29,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,49.40444000,0.235294057902,0.228593254062,
2019-05-29,sector::XLV,XLV,XLV,Health Care,0.003309208448,77.57145000,0.256700097658,0.249389683552,
2019-05-29,sector::XLK,XLK,XLK,Technology,0.008594244164,32.15465000,0.276344913102,0.268475045621,
2019-05-30,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,49.72737000,0.236832047404,0.229050737855,
2019-05-30,sector::XLV,XLV,XLV,Health Care,0.003309208448,77.99733000,0.258109423352,0.249629028309,
2019-05-30,sector::XLK,XLK,XLK,Technology,0.008594244164,32.35379000,0.278056370884,0.268920602656,
2019-05-31,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,49.07708000,0.233734970038,0.228170971017,
2019-05-31,sector::XLV,XLV,XLV,Health Care,0.003309208448,77.43836000,0.256259675106,0.250159481449,
2019-05-31,sector::XLK,XLK,XLK,Technology,0.008594244164,31.81390000,0.273416424403,0.266907818876,
2019-06-03,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,48.66567000,0.231775584842,0.227621435679,
2019-06-03,sector::XLV,XLV,XLV,Health Care,0.003309208448,77.62468000,0.256876246824,0.252272214667,
2019-06-03,sector::XLK,XLK,XLK,Technology,0.008594244164,31.25630000,0.268624273857,0.263809680020,
2019-06-04,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,49.98395000,0.238054037764,0.229391821572,
2019-06-04,sector::XLV,XLV,XLV,Health Care,0.003309208448,78.91118000,0.261133543492,0.251631519373,
2019-06-04,sector::XLK,XLK,XLK,Technology,0.008594244164,32.30068000,0.277599930577,0.267498734076,
2019-06-05,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,50.23168000,0.239233879028,0.229036738935,
2019-06-05,sector::XLV,XLV,XLV,Health Care,0.003309208448,79.50563000,0.263100702454,0.251886259364,
2019-06-05,sector::XLK,XLK,XLK,Technology,0.008594244164,32.72110000,0.281213122708,0.269226653150,
2019-06-06,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,50.48825000,0.240455821761,0.228925926118,
2019-06-06,sector::XLV,XLV,XLV,Health Care,0.003309208448,79.91376000,0.264451289698,0.251770807477,
2019-06-06,sector::XLK,XLK,XLK,Technology,0.008594244164,33.10168000,0.284483920152,0.270842870053,
2019-06-07,sector::XLY,XLY,XLY,Consumer Discretionary,0.004762609553,51.21817000,0.243932145726,0.229715531776,
2019-06-07,sector::XLV,XLV,XLV,Health Care,0.003309208448,80.74777000,0.267211202636,0.251637861534,
2019-06-07,sector::XLK,XLK,XLK,Technology,0.008594244164,33.71680000,0.289770411622,0.272882296840,
