rebalance_id,trade_date,next_rebalance_trade_date,signal_dates,report_periods,included_signal_ids,raw_holding_signal_count,eligible_holding_signal_count,excluded_holding_signal_count,accumulation_like_count,neutral_count,positions_sold_count,positions_bought_count,pre_trade_nav,post_trade_nav,total_raw_score,same_day_bundle_flag
P3AT-R001,2019-02-14,2019-05-14,2019-02-13,2018-12-31,holding:000156761919003482:1,1,1,0,0,1,0,1,1.000000000000,1.000000000000,1.000000000000,0
P3AT-R002,2019-05-14,2019-08-07,2019-05-13,2019-03-31,holding:000156761919010477:1,1,1,0,0,1,1,1,0.764756191322,0.764756191322,1.000000000000,0
P3AT-R003,2019-08-07,2019-10-22,2019-08-06,2019-06-30,holding:000156761919015831:1|holding:000156761919015831:2,2,2,0,1,1,1,2,0.768410272313,0.768410272313,3.000000000000,0
P3AT-R004,2019-10-22,2020-02-05,2019-10-21,2019-09-30,holding:000156761919019798:1|holding:000156761919019798:2,2,2,0,0,2,2,2,0.700208076765,0.700208076765,2.000000000000,0
P3AT-R005,2020-02-05,2020-05-18,2020-02-04,2019-12-31,holding:000156761920002012:2,2,1,1,0,1,2,1,1.402589848260,1.402589848260,1.000000000000,0
P3AT-R006,2020-05-18,2020-08-17,2020-05-15,2020-03-31,holding:000156761920010560:1|holding:000156761920010560:3|holding:000156761920010560:2|holding:000156761920010560:4|holding:000156761920010560:5|holding:000156761920010560:6|holding:000156761920010560:7|holding:000156761920010560:8|holding:000156761920010560:9|holding:000156761920010560:10|holding:000156761920010560:11|holding:000156761920010560:12|holding:000156761920010560:13|holding:000156761920010560:14|holding:000156761920010560:15|holding:000156761920010560:16|holding:000156761920010560:17|holding:000156761920010560:18|holding:000156761920010560:19|holding:000156761920010560:20|holding:000156761920010560:21|holding:000156761920010560:22|holding:000156761920010560:23|holding:000156761920010560:24,24,24,0,23,1,1,24,1.281039682111,1.281039682111,47.000000000000,0
P3AT-R007,2020-08-17,2020-11-17,2020-08-14,2020-06-30,holding:000156761920015371:1|holding:000156761920015371:3|holding:000156761920015371:5|holding:000156761920015371:7|holding:000156761920015371:10|holding:000156761920015371:8|holding:000156761920015371:9|holding:000156761920015371:11|holding:000156761920015371:12,13,9,4,8,1,24,9,1.408875917103,1.408875917103,17.000000000000,0
P3AT-R008,2020-11-17,2021-05-18,2020-11-16,2020-09-30,holding:000156761920019808:1|holding:000156761920019808:2|holding:000156761920019808:3|holding:000156761920019808:4|holding:000156761920019808:5|holding:000156761920019808:6|holding:000156761920019808:7,7,7,0,1,6,9,7,1.655515087503,1.655515087503,8.000000000000,0
P3AT-R009,2021-05-18,2021-08-17,2021-05-17,2021-03-31,holding:000156761921010356:2|holding:000156761921010356:3|holding:000156761921010356:4|holding:000156761921010356:5|holding:000156761921010356:6|holding:000156761921010356:7|holding:000156761921010356:8|holding:000156761921010356:10|holding:000156761921010356:11|holding:000156761921010356:12|holding:000156761921010356:13,14,11,3,11,0,7,11,1.946203908174,1.946203908174,22.000000000000,0
P3AT-R010,2021-08-17,2022-10-12,2021-08-16,2021-06-30,holding:000156761921015669:2|holding:000156761921015669:3|holding:000156761921015669:4|holding:000156761921015669:5|holding:000156761921015669:6|holding:000156761921015669:7|holding:000156761921015669:8|holding:000156761921015669:10|holding:000156761921015669:11|holding:000156761921015669:12|holding:000156761921015669:13,13,11,2,0,11,11,11,1.784182221920,1.784182221920,11.000000000000,0
