date,nav_start,cash_start,pnl_day,nav_pre_rebalance,nav_end,return_day,cum_return,cash_end,cash_weight_end,gross_exposure_end,position_count_end,rebalance_executed_flag,rebalance_id,buys_count,sells_count,peak_nav_to_date,drawdown_to_date
2019-02-19,1.000000000000,1.000000000000,0.000000000000,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,1,1,P5CAC-R001,1,0,1.000000000000,0.000000000000
2019-02-20,1.000000000000,0.000000000000,-0.010077051433,0.989922948567,0.989922948567,-0.010077051433,-0.010077051433,0.000000000000,0.000000000000,1.000000000000,1,0,,0,0,1.000000000000,-0.010077051433
2019-02-21,0.989922948567,0.000000000000,-0.037070082450,0.952852866117,0.952852866117,-0.037447442252,-0.047147133883,0.000000000000,0.000000000000,1.000000000000,1,0,,0,0,1.000000000000,-0.047147133883
2019-02-22,0.952852866117,0.000000000000,0.011385944248,0.964238810365,0.964238810365,0.011949320460,-0.035761189635,0.000000000000,0.000000000000,1.000000000000,1,0,,0,0,1.000000000000,-0.035761189635
2019-02-25,0.964238810365,0.000000000000,0.013283765214,0.977522575579,0.977522575579,0.013776426619,-0.022477424421,0.000000000000,0.000000000000,1.000000000000,1,0,,0,0,1.000000000000,-0.022477424421
2019-02-26,0.977522575579,0.000000000000,-0.002977522576,0.974545053004,0.974545053004,-0.003045988553,-0.025454946996,0.000000000000,0.000000000000,1.000000000000,1,0,,0,0,1.000000000000,-0.025454946996
2019-02-27,0.974545053004,0.000000000000,0.055228700432,1.029773753435,1.029773753435,0.056671264465,0.029773753435,0.000000000000,0.000000000000,1.000000000000,1,0,,0,0,1.029773753435,0.000000000000
2019-02-28,1.029773753435,0.000000000000,0.016816843345,1.046590596781,1.046590596781,0.016330619506,0.046590596781,0.000000000000,0.000000000000,1.000000000000,1,0,,0,0,1.046590596781,0.000000000000
2019-03-01,1.046590596781,0.000000000000,-0.082089713388,0.964500883392,0.964500883392,-0.078435363017,-0.035499116608,0.000000000000,0.000000000000,1.000000000000,1,0,,0,0,1.046590596781,-0.078435363017
2019-03-04,0.964500883392,0.000000000000,-0.030853455045,0.933647428347,0.933647428347,-0.031989037622,-0.066352571653,0.000000000000,0.000000000000,1.000000000000,1,0,,0,0,1.046590596781,-0.107915328860
